Reference	LeftContext	Pivot	RightContext
Alexandre, 41	les droits que nous reprendrons bien, Rendons-lui	de les devoirs	qui ne nous coûtent rien. PORUS. Qui ne nous coûtent
Alexandre, 47	les moindres lâchetés. Mais croyez -vous qu'	un prince	enflé de tant_d'audace, De son passage ici ne laissât point
Alexandre, 50	, Jamais de ses liens il ne dégage	un prince	, Et pour mieux asservir les peuples sous ses lois, Souvent
Alexandre, 50	, Souvent dans la poussière il leur cherche	de les rois	. Mais ces indignes soins touchent peu mon courage, Votre seul
Alexandre, 65	TAXILE. Ces conseils ne plairont qu'à	de les âmes	hautaines. PORUS. Ils plairont à de les rois, et
Alexandre, 67	âmes hautaines. PORUS. Ils plairont à	de les rois	, et peut-être à de les reines. TAXILE. La reine
Alexandre, 67	à de les rois, et peut-être à	de les reines	. TAXILE. La reine, à vous ouïr, n'a
Alexandre, 69	reine, à vous ouïr, n'a	de les yeux	que pour vous. PORUS. Un esclave est pour elle un
Alexandre, 71	. PORUS. Un esclave est pour elle	un objet	de courroux. TAXILE. Mais croyez -vous, Seigneur, que
Alexandre, 79	heureuse journée. Avant_qu'il me cherchât,	un orgueil	inquiet M'avait déjà rendu son ennemi secret. Dans le noble
Alexandre, 81	l'Asie. Je l'attirais ici par	de les voeux	si puissants, Que je portais envie à le bonheur de les
Alexandre, 81	, Que je portais envie à le bonheur	de les Persans	. Et maintenant encor s'il trompait mon courage, Pour sortir
Alexandre, 82	sortir de ces lieux, s'il cherchait	un passage	, Vous me verriez moi-même armé pour l'arrêter, Lui refuser
Alexandre, 84	présenter. TAXILE. Oui, sans_doute,	une ardeur	si haute et si constante Vous promet dans l'histoire une place
Alexandre, 84	et si constante Vous promet dans l'histoire	une place	éclatante ; Et sous ce grand dessein dussiez -vous succomber, Au_moins
Alexandre, 88	si noble entretien, Et vos coeurs rougiraient	de les faiblesses	de le mien. AXIANE. Quoi, Taxile me fuit ?
Alexandre, 6	soeur adorer Alexandre. Retirons, nous d'	un camp	, où l'encens à la main Le fidèle Taxile attend son
Alexandre, 15	point par ce cruel mépris, D'achever	un dessein	qu'il peut n'avoir pas pris. PORUS. Hé quoi
Alexandre, 18	votre âme s'assure Sur la foi d'	un amant	infidèle, et parjure, Qui veut à son tyran vous livrer
Alexandre, 26	balancer ? Sais -je pas que Taxile est	une âme	incertaine, Que l'amour le retient quand la crainte l'entraîne
Alexandre, 34	le soin de nos provinces, Attaquer seul	un roi	vainqueur de tant_de princes ? Je vous veux dans Taxile offrir un
Alexandre, 35	princes ? Je vous veux dans Taxile offrir	un défenseur	, Qui combatte Alexandre en_dépit_de sa soeur. Que n'avez -vous
Alexandre, 37	pour moi cette ardeur empressée ? Mais d'	un soin	si commun votre âme est peu blessée ; Pourvu_que ce grand coeur
Alexandre, 41	ciel favorable à vos voeux Vous préparait peut-être	un sort	assez heureux. Peut-être qu'à son tour Axiane charmée, Allait
Alexandre, 47	tout entreprendre, Que c'était pour Porus	un bonheur	sans égal, De triompher tout seul à les yeux de son
Alexandre, 52	bien m'obéir, N'est pas entre	de les mains	qui le puissent trahir. Non, je ne prétends pas jalouse
Alexandre, 53	prétends pas jalouse de sa gloire, Arrêter	un héros	qui court à la victoire. Contre un fier ennemi précipitez vos
Alexandre, 55	. Ménagez -les, Seigneur, et d'	une âme	tranquille Laissez agir mes soins sur l'esprit de Taxile ; Montrez
Alexandre, 55	esprit de Taxile ; Montrez en sa faveur	de les sentiments	plus doux, Je le vais engager à combattre pour vous.
Alexandre, 5	? Attendez -vous encore après l'aveu d'	un frère	? Voulez -vous que son coeur incertain et confus, Ne se
Alexandre, 13	conquérir. CLÉOFILE. Puis -je croire qu'	un prince	, au_comble_de la gloire, De mes faibles attraits garde encor la
Alexandre, 15	coeurs interrompu, troublé, Sous le faix	de les lauriers	est bientôt accablé. Tandis_que ce héros me tint sa prisonnière,
Alexandre, 16	, J'ai pu toucher son coeur d'	une atteinte	légère ; Mais je pense, Seigneur, qu'en rompant mes
Alexandre, 20	vu, vainqueur de tant_de princes, D'	un cours	impétueux traverser vos provinces. Et briser en passant sous l'effort
Alexandre, 30	ses fers ; Et loin de murmurer contre	un destin	si rude, Il s'en fit, je l'avoue,
Alexandre, 36	ses armes. Il présente la paix à	de les rois	aveuglés, Et retire la main qui les eût accablés. Il
Alexandre, 38	d'un si triste avantage, Et disposez	de les rois	qu'épargne son courroux, À recevoir un bien_qu'ils ne doivent
Alexandre, 40	, Seigneur, mon âme inquiétée, D'	une crainte	si juste est sans_cesse agitée. Je tremble pour mon frère,
Alexandre, 41	, et crains que son trépas, D'	un ennemi	si cher n'ensanglante le bras. Mais en_vain je m'oppose
Alexandre, 42	Porus tyrannisent son âme ; Les charmes d'	une reine	, et l'exemple d'un roi, Dès_que je veux parler
Alexandre, 42	d'une reine, et l'exemple d'	un roi	, Dès_que je veux parler, s'élèvent contre moi. Que
Alexandre, 46	et de le Scythe, Et tout fiers	de les lauriers	dont il les a chargés, Vaincront à son exemple, ou
Alexandre, 49	je crains... ÉPHESTION. Ah ! Quittez	une crainte	si vaine, Laissez courir Porus où son malheur l'entraîne ;
Alexandre, 5	vient point ici, souillé de le sang	de les princes	, D'un triomphe barbare effrayer vos provinces ; Et cherchant à
Alexandre, 5	de le sang de les princes, D'	un triomphe	barbare effrayer vos provinces ; Et cherchant à briller d'une triste
Alexandre, 5	d'une triste splendeur, Sur le tombeau	de les rois	élever sa grandeur. Mais vous-mêmes trompés d'un vain espoir de
Alexandre, 12	TAXILE. Seigneur, ne croyez point qu'	une fierté	barbare Nous fasse méconnaître une vertu si rare, Et que dans
Alexandre, 12	point qu'une fierté barbare Nous fasse méconnaître	une vertu	si rare, Et que dans leur orgueil nos peuples affermis,
Alexandre, 13	doit à les illustres exemples, Vous adorez	de les dieux	qui nous doivent leurs temples. De les héros qui chez vous
Alexandre, 14	De les héros qui chez vous passaient pour	de les mortels	, En venant parmi nous, ont trouvé de les autels.
Alexandre, 14	, En venant parmi nous, ont trouvé	de les autels	. Mais en_vain l'on prétend chez de les peuples si braves,
Alexandre, 15	les autels. Mais en_vain l'on prétend chez	de les peuples	si braves, Au_lieu_d'adorateurs, se faire de les esclaves,
Alexandre, 15	si braves, Au_lieu_d'adorateurs, se faire	de les esclaves	, Croyez-moi, quelque éclat qui les puisse toucher, Ils refusent
Alexandre, 17	pas temps, Seigneur, qu'il cherche	de les amis	? Tout ce peuple captif, qui tremble au_nom_d'un maître,
Alexandre, 18	Tout ce peuple captif, qui tremble au_nom_d'	un maître	, Soutient mal un pouvoir qui ne fait que de naître.
Alexandre, 18	qui tremble au_nom_d'un maître, Soutient mal	un pouvoir	qui ne fait que de naître. Ils ont, pour s'
Alexandre, 23	prenant notre amitié pour gage, Ce_que peut	une foi	qu'aucun serment n'engage ; Laissez un peuple au_moins qui puisse
Alexandre, 23	foi qu'aucun serment n'engage ; Laissez	un peuple	au_moins qui puisse quelquefois Applaudir sans contrainte à le bruit de vos
Alexandre, 25	. Et je l'attends déjà, comme	un roi	doit attendre Un héros dont la gloire accompagne les pas, Qui
Alexandre, 27	Qu'il n'avait avec moi, dans	de les desseins	si grands, Engagé que de les rois ennemis de les tyrans
Alexandre, 27	de les desseins si grands, Engagé que	de les rois	ennemis de les tyrans. Mais puisqu'un roi flattant la main qui
Alexandre, 27	grands, Engagé que de les rois ennemis	de les tyrans	. Mais puisqu'un roi flattant la main qui nous menace, Parmi
Alexandre, 32	fureur ravageât tout_le_monde, L'_Inde se reposait dans	une paix	profonde ; Et si quelques voisins en troublaient les douceurs, Il
Alexandre, 35	jamais chez lui nos peuples en courroux Désoler	un pays	inconnu parmi nous ? Faut -il que tant_d'États, de déserts
Alexandre, 38	Qui veut que l'univers ne soit qu'	une prison	, Et que maître absolu de tous tant_que nous sommes, Ses
Alexandre, 44	, Où l'on découvre encor les vestiges d'	un roi	. Mais c'est pour mon courage une illustre matière. Je
Alexandre, 46	courage une illustre matière. Je vois d'	un oeil	content trembler la terre entière, Afin_que par moi seul les mortels
Alexandre, 46	Porus, Et qu'on dise partout dans	une paix	profonde : «   Alexandre vainqueur eût dompté tout_le_monde, Mais un
Alexandre, 46	  Alexandre vainqueur eût dompté tout_le_monde, Mais	un roi	l'attendait au_bout_de l'univers, Par qui le monde entier a
Alexandre, 56	Quelle gloire en_effet d'accabler la faiblesse D'	un roi	déjà vaincu par sa propre mollesse, D'un peuple sans vigueur
Alexandre, 56	déjà vaincu par sa propre mollesse, D'	un peuple	sans vigueur et presque inanimé, Qui gémissait sous l'or dont
Alexandre, 56	, au_lieu_de se défendre, N'opposait que	de les morts	à le grand coeur d'Alexandre ? Les_autres éblouis de ses moindres
Alexandre, 57	moindres exploits Sont venus à genoux lui demander	de les lois	, Et leur crainte écoutant je ne sais quels oracles, Ils
Alexandre, 57	oracles, Ils n'ont pas cru qu'	un dieu	pût trouver de les obstacles. Mais nous, qui d'un
Alexandre, 57	ont pas cru qu'un dieu pût trouver	de les obstacles	. Mais nous, qui d'un autre oeil jugeons de les
Alexandre, 58	nous, qui d'un autre oeil jugeons	de les conquérants	, Nous savons que les dieux ne sont pas de les tyrans
Alexandre, 58	Nous savons que les dieux ne sont pas	de les tyrans	; Et de quelque façon qu'un esclave le nomme, Le
Alexandre, 58	les tyrans ; Et de quelque façon qu'	un esclave	le nomme, Le fils de Jupiter passe ici pour un homme
Alexandre, 58	, Le fils de Jupiter passe ici pour	un homme	. Nous n'allons point de fleurs parfumer son chemin, Il
Alexandre, 61	n'en coûte à son bras l'empire	de les Persans	. Ennemis de le repos qui perdit ces infâmes, L'or
Alexandre, 3	soumis, Qu'il ne marchera point contre	un roi	qu'il respecte. TAXILE. La foi d'un ennemi doit
Alexandre, 5	il respecte. TAXILE. La foi d'	un ennemi	doit être un_peu suspecte, Madame, avec le temps ils me
Alexandre, 2	me le faire croire, La démarche d'	un roi	qui court à la victoire. Il n'en faut plus douter
Alexandre, 17	? Voudriez -vous qu'à l'exemple d'	un traître	, Ma frayeur conspirât à vous donner un maître ? Que Porus
Alexandre, 17	traître, Ma frayeur conspirât à vous donner	un maître	? Que Porus dans un camp se laissant arrêter, Refusât le
Alexandre, 18	vous donner un maître ? Que Porus dans	un camp	se laissant arrêter, Refusât le combat qu'il vient de présenter
Alexandre, 21	de se rendre Ne voulait pour amant qu'	un vainqueur	d'Alexandre. Il faut vaincre, et j'y cours,
Alexandre, 24	Je m'en vais par l'éclat qu'	une victoire	donne Attacher de si près la gloire à ma personne, Que
Alexandre, 35	me condamne) Voulez-vous qu'en mourant,	un prince	infortuné Ignore à quelle gloire il était destiné ? Parlez. AXIANE
Alexandre, 4	trahison, Taxile de son camp me fait	une prison	? C'est donc là cette ardeur qu'il me faisait paraître
Alexandre, 8	les soins, et les justes alarmes D'	un roi	qui pour vainqueur ne connaît que vos charmes, Et regardez,
Alexandre, 14	. Quoi, lorsque mes sujets mourant dans	une plaine	, Sur les pas_de Porus combattent pour leur reine, Qu'à
Alexandre, 14	ils signalent leur foi, Que le cri	de les mourants	vient presque jusqu'à moi, On me parle de paix ? Et
Alexandre, 15	Et le camp de Taxile_Garde dans ce désordre	une assiette	tranquille ; On flatte ma douleur d'un calme injurieux, Sur
Alexandre, 15	assiette tranquille ; On flatte ma douleur d'	un calme	injurieux, Sur de les objets de joie on arrête mes yeux
Alexandre, 15	ma douleur d'un calme injurieux, Sur	de les objets	de joie on arrête mes yeux ? CLÉOFILE. Madame, voulez
Alexandre, 17	amour de mon frère Abandonne à les périls	une tête	si chère ? Il sait trop les hasards... AXIANE. Et
Alexandre, 27	Perdre tous mes États, et voir d'	un oeil	tranquille Alexandre en payer le coeur de Cléofile. CLÉOFILE. Si
Alexandre, 34	vainqueur. Mais sur la seule foi d'	un amour	qui vous flatte, Peut-être avant le temps ce grand orgueil éclate
Alexandre, 2	avec moins_de colère Eût suivi les conseils d'	une amitié	sincère, Il m'aurait en_effet épargné la douleur De vous venir
Alexandre, 7	coeur respectant sa vertu N'accable point encore	un rival	abattu) Ce n'est point que son bras disputant la victoire
Alexandre, 15	porte, Dis-moi, n'était -ce pas	une voix	assez forte ? Ce héros en péril, ta maîtresse en danger
Alexandre, 19	haine ordonne. Garde à tous les vaincus	un traitement	égal, Enchaîne ta maîtresse en livrant ton rival. Aussi_bien,
Alexandre, 22	mon amour, Lui vouer à tes yeux	une amitié	fidèle, Et te jurer à les siens une haine immortelle.
Alexandre, 22	fidèle, Et te jurer à les siens	une haine	immortelle. Adieu, tu me connais. Aime -moi si tu
Alexandre, 27	, Alexandre sait mieux ce_qu'on doit à	de les reines	. Souffrez que sa douceur vous oblige à garder Un trône que
Alexandre, 30	, Deviendrait dans mes mains le don d'	un ennemi	? Et sur mon propre trône on me verrait placée Par le
Alexandre, 33	chassée ? TAXILE. De les reines et	de les rois	vaincus par sa valeur, Ont laissé par ses soins adoucir leur
Alexandre, 36	ne sais point vendre mon amitié, Caresser	un tyran	, et régner par pitié. Penses -tu que j'imite une
Alexandre, 41	il te pare, s'il veut,	de les dépouilles	de les autres. Règne, Porus ni moi n'en serons
Alexandre, 45	. De les traîtres comme toi font souvent	de les ingrats	; Et de quelques faveurs que sa main t'éblouisse, Du
Alexandre, 4	Ne s'obstinera point à le refus d'	un empire	. Maître de ses destins, vous l'êtes de son coeur
Alexandre, 14	projets Ses yeux comme son bras font partout	de les sujets	. Il sortait de le combat. Ébloui de sa gloire Je
Alexandre, 19	princesse, Disposez ses beaux yeux à revoir	un vainqueur	Qui va mettre à ses pieds sa victoire et son coeur.
Alexandre, 3	on épargne sa vie, et le sang	de les vaincus	. ALEXANDRE, à Taxile. Seigneur, est -il donc vrai
Alexandre, 2	. Seigneur, est -il donc vrai qu'	une reine	aveuglée Vous préfère d'un roi la valeur déréglée ? Mais ne
Alexandre, 2	vrai qu'une reine aveuglée Vous préfère d'	un roi	la valeur déréglée ? Mais ne le craignez point. Son empire
Alexandre, 6	courroux. Maître de deux États, arbitre	de les siens	mêmes, Allez avec vos voeux offrir trois diadèmes. TAXILE.
Alexandre, 12	vous appelle, Et couronnez vos feux d'	une palme	si belle. ALEXANDRE. Madame, à son amour je promets
Alexandre, 4	tout pour lui ? Si prodigue envers lui	de les fruits	de la victoire, N'en aurai -je pour moi qu'une
Alexandre, 12	pourrait -il échapper aujourd'hui À l'ardeur d'	un vainqueur	qui ne cherche que lui ? CLÉOFILE. Non, je ne
Alexandre, 15	Je rends ce_que je dois à l'éclat	de les vertus	Qui tiennent sous vos pieds cent peuples abattus. Les Indiens domptés
Alexandre, 20	. Je crains que satisfait d'avoir conquis	un coeur	, Vous ne l'abandonniez à sa triste langueur ; Qu'insensible
Alexandre, 20	vous aurez causée, Votre âme ne dédaigne	une conquête	aisée. On attend peu_d'amour d'un héros tel que vous
Alexandre, 21	conquête aisée. On attend peu_d'amour d'	un héros	tel que vous. La gloire fit toujours vos transports les plus
Alexandre, 25	Que vous connaissez mal les violents désirs D'	un amour	qui vers vous porte tous mes soupirs ! J'avouerai qu'autrefois
Alexandre, 26	mes soupirs ! J'avouerai qu'autrefois au_milieu_d'	une armée	Mon coeur ne soupirait que pour la Renommée, Les peuples et
Alexandre, 29	aimables tyrans, Ont produit sur mon coeur	de les effets	différents ! Ce grand nom de vainqueur n'est plus ce_qu'il
Alexandre, 34	devaient arrêter que de faibles esprits. Par	de les faits	tout nouveaux, je m'en vais vous apprendre Tout ce_que peut
Alexandre, 35	de la terre, Et vous faire dresser	de les autels	en de les lieux Où leurs sauvages mains en refusent à les
Alexandre, 35	Et vous faire dresser de les autels en	de les lieux	Où leurs sauvages mains en refusent à les dieux. CLÉOFILE.
Alexandre, 41	à moi-même barbare J'abandonne en ces lieux	une beauté	si rare ? Mais vous-même plutôt voulez -vous renoncer Au trône de
Alexandre, 50	lui n'est point intéressée. Apaisez seulement	une reine	offensée, Et ne permettez pas qu'un rival aujourd'hui Pour vous
Alexandre, 50	reine offensée, Et ne permettez pas qu'	un rival	aujourd'hui Pour vous avoir bravé soit plus heureux que lui. ALEXANDRE
Alexandre, 52	que lui. ALEXANDRE. Porus était sans_doute	un rival	magnanime, Jamais tant_de valeur n'attira mon estime. Dans l'
Alexandre, 6	à le soin de vos soldats. Mais	un reste	de les siens entourés dans leur fuite, Et de le soldat
Alexandre, 6	soin de vos soldats. Mais un reste	de les siens	entourés dans leur fuite, Et de le soldat vainqueur arrêtant la
Alexandre, 2	, seule. N'entendrons -nous jamais que	de les cris	de victoire, Qui de mes ennemis me reprochent la gloire ?
Alexandre, 12	désirs M'est -il en ta présence échappé	de les soupirs	? Mais je voulais encor douter de ta victoire. J'expliquais
Alexandre, 21	moins aimée. Mais que sert de pousser	de les soupirs	superflus, Qui se perdent en l'air et que tu n'
Alexandre, 22	âme à le tombeau descendue, Te jure	une amitié	si longtemps attendue. Il est temps que mon coeur pour gage
Alexandre, 23	foi Montre qu'il n'a pu vivre	un moment	après toi. Aussi_bien penses -tu que je voulusse vivre Sous les
Alexandre, 24	que je voulusse vivre Sous les lois d'	un vainqueur	à qui ta mort nous livre ? Je sais qu'il se
Alexandre, 2	, trouvez -vous quelques charmes À voir couler	de les pleurs	que font verser vos armes ? Ou si vous m'enviez en
Alexandre, 6	autant_que légitime. Vous regrettez, Madame,	un prince	magnanime. Je fus son ennemi. Mais je ne l'étais
Alexandre, 17	, Et qu'à le seul nom d'	un roi	jusqu'alors invincible, À de nouveaux exploits mon coeur devint sensible.
Alexandre, 18	partout l'effroi, L'_Inde sembla m'ouvrir	un champ	digne de moi. Lassé de voir de les rois vaincus sans
Alexandre, 19	champ digne de moi. Lassé de voir	de les rois	vaincus sans résistance, J'appris avec plaisir le bruit de sa
Alexandre, 23	lui-même a vu croître sa gloire, Qu'	une chute	si belle élève sa vertu, Et qu'il ne voudrait pas
Alexandre, 29	attaquer sa vertu ? Et loin de remporter	une gloire	parfaite, D'un autre que de vous attendre sa défaite ?
Alexandre, 32	artifice. Et c'est à ma douleur	un spectacle	assez doux De le voir partager cette gloire avec vous. ALEXANDRE
Alexandre, 47	Grèce inondé les frontières ? Avons -nous soulevé	de les nations	entières, Et contre votre gloire excité leur courroux ? Hélas !
Alexandre, 50	charmés l'un de l'autre Nous attendions	un sort	plus heureux que le vôtre. Porus bornait ses voeux à conquérir
Alexandre, 51	vôtre. Porus bornait ses voeux à conquérir	un coeur	, Qui peut-être aujourd'hui l'eût nommé son vainqueur. Ah !
Alexandre, 53	. Ah ! N'eussiez -vous versé qu'	un sang	si magnanime, Quand on ne vous pourrait reprocher que ce crime
Alexandre, 54	flatte votre âme, Vous n'êtes qu'	un tyran	. ALEXANDRE. Je le vois bien, Madame, Vous voulez
Alexandre, 58	point charmé, Vous attaquez, Madame,	un vainqueur	désarmé. Mon âme malgré vous à vous plaindre engagée Respecte le
Alexandre, 60	ferme_les_yeux, Qui ne regarde en moi qu'	un tyran	odieux. Sans lui vous avoueriez que le sang et les larmes
Alexandre, 70	. ALEXANDRE. J'excuse les transports d'	une amitié	si tendre. Mais, Madame, après_tout ils doivent me surprendre
Alexandre, 80	ébranlés. Parmi tant_de grands rois choisissez -leur	un maître	. Plus ardent que jamais Taxile... AXIANE. Quoi le traître
Alexandre, 85	? ALEXANDRE. Hé ! De grâce prenez	de les sentiments	plus doux, Aucune trahison ne le souille envers vous. Maître
Alexandre, 88	Alexandre lui-même S'intéresse à le bonheur d'	un prince	qui vous aime. Songez que réunis par un si juste choix
Alexandre, 94	n'est déjà_que trop rude. L'entretien	de les amants	cherche la solitude. Je ne vous trouble point. AXIANE.
Alexandre, 9	, éprouvez seulement Ce_que peut sur mon coeur	un espoir	si charmant. Que faut -il faire ? AXIANE. Il faut
Alexandre, 13	Il faut marcher sans crainte à le milieu	de les alarmes	, Il faut combattre, vaincre, ou périr sous les armes
Alexandre, 14	Porus et sur toi, Et juge qui	de les deux	était digne de moi. Oui, Taxile, mon coeur douteux
Alexandre, 15	, mon coeur douteux en apparence, D'	un esclave	, et d'un roi faisait la différence. Je l'aimai
Alexandre, 15	apparence, D'un esclave, et d'	un roi	faisait la différence. Je l'aimai, je l'adore.
Alexandre, 17	puisqu'un sort jaloux Lui défend de jouir d'	un spectacle	si doux, C'est toi que je choisis pour témoin de
Alexandre, 19	. TAXILE. Ainsi je brûle en_vain pour	une âme	glacée ? L'image de Porus n'en peut être effacée,
Alexandre, 33	. Je te propose en_vain l'exemple d'	un héros	. Tu veux servir. Va, sers, et me laisse
Alexandre, 7	pour elle, N'en obtiendraient jamais qu'	une haine	immortelle, Malgré tous ses mépris, malgré tous vos discours,
Alexandre, 12	demeurer suspendue. Et ne serait -ce pas	un bonheur	trop charmant Que de l'avoir réduite à douter un moment ?
Alexandre, 12	charmant Que de l'avoir réduite à douter	un moment	? Non, je ne puis plus vivre accablé de sa haine
Alexandre, 31	prévu. Le bruit de son trépas D'	un vainqueur	trop crédule a retenu le bras. Il vient surprendre ici leur
Alexandre, 32	vient surprendre ici leur valeur endormie, Troubler	une victoire	encor mal affermie. Il vient n'en doutez point, en
Alexandre, 36	, allez en généreux amant Au secours d'	un rival	aimé si tendrement, Adieu. TAXILE, seul. Quoi ?
Alexandre, 3	? La fortune obstinée à me nuire Ressuscite	un rival	armé pour me détruire ? Cet amant reverra les yeux qui l'
Alexandre, 5	imparfaite ? Non, non, c'est	un captif	qui n'a pu m'échapper, Que mes ordres partout ont
Alexandre, 11	alarmée. Mais, Seigneur, c'est	un roi	malheureux et soumis, Et dès_lors je le compte à le rang
Alexandre, 13	de vos amis. ALEXANDRE. C'est	un rang	où Porus n'a plus droit de prétendre, Il a trop
Alexandre, 15	il l'a voulu. Je dois même	un exemple	à le reste de la terre. Je dois venger sur lui
Alexandre, 16	les maux de la guerre ; Le punir	de les malheurs	qu'il a pu prévenir, Et de m'avoir forcé moi-même
Alexandre, 20	vôtre. Mais si je le défends,	de les soins	si généreux Retombent sur mon frère et détruisent ses voeux. Tant_que
Alexandre, 31	gardés que pour vous les offrir. Encore	une victoire	, et je reviens, Madame, Borner toute ma gloire à
Alexandre, 31	vos mains Le destin d'Alexandre et celui	de les humains	. Le Malien m'attend prêt à me rendre_hommage. Si_près_de l'
Alexandre, 36	, toujours guerre sur guerre ? Cherchez -vous	de les sujets	au-delà de la terre ? Voulez -vous pour témoins de vos faits
Alexandre, 38	leurs habitants ? Qu'espérez -vous combattre en	de les climats	si rudes ? Ils vous opposeront de vastes solitudes, Des déserts
Alexandre, 41	. Pensez -vous y traîner les restes d'	une armée	, Vingt fois renouvelée, et vingt fois consumée ? Vos soldats
Alexandre, 45	qu'à paraître. Ces coeurs qui dans	un camp	d'un vain loisir déçus Comptent en murmurant les coups qu'ils
Alexandre, 9	. Mais que ferait -il seul contre toute	une armée	? En_vain ses grands efforts l'ont d'abord alarmée. En_vain
Alexandre, 28	redoublés qui bravent ma colère, Mériteraient sans_doute	un vainqueur	plus sévère. Son orgueil en tombant semble s'être affermi.
Alexandre, 33	Moi, j'irais à ses pieds mendier	un asile	? Et vous me renvoyez à les bontés de Taxile ? Vous
Alexandre, 35	de Taxile ? Vous voulez que Porus cherche	un appui	si bas ? Ah, Seigneur, votre haine a juré son
Alexandre, 38	le cherchiez qu'afin_de le détruire. Qu'	une âme	généreuse est facile à séduire ! Déjà mon coeur crédule oubliant son
Alexandre, 39	Déjà mon coeur crédule oubliant son courroux Admirait	de les vertus	qui ne sont point en vous. Armez -vous donc, Seigneur
Alexandre, 40	. Armez -vous donc, Seigneur, d'	une valeur	cruelle. Ensanglantez la fin d'une course si belle. Après
Alexandre, 41	une valeur cruelle. Ensanglantez la fin d'	une course	si belle. Après tant_d'ennemis qu'on vous vit relever,
Alexandre, 46	vous était offerte. Soupçonnez ma pitié d'	un sentiment	jaloux, Mais enfin s'il périt n'en accusez que vous
Alexandre, 5	si haute est enfin abaissée. Je dois	une victime	à ma gloire offensée. Rien ne vous peut sauver. Je
Alexandre, 7	sauver. Je veux bien toutefois Vous offrir	un pardon	refusé tant_de fois. Cette reine elle seule à mes bontés rebelle
