Reference	LeftContext	Pivot	RightContext
Athalie, 47	Méchant, c'est bien à vous d'	oser ainsi nommer	Un_Dieu que votre bouche enseigne à blasphémer. Sa vérité par vous
Athalie, 11	outrager Celui que de son ordre elle a	daigné charger	. JOAD. Hé bien_que nous fait -elle annoncer de sinistre ?
Athalie, 27	commune ? JOAD. Quels timides conseils m'	osez -vous suggérer	? En l'appui de Jéhu pourriez -vous espérer ? JOSABET.
Athalie, 36	temples. Jéhu sur les hauts lieux enfin	osant offrir	Un téméraire encens que Dieu ne peut souffrir, N'a pour
Athalie, 15	sacré diadème ? SALOMITH. Le Seigneur a	daigné parler	, Mais ce_qu'à son prophète il vient de révéler, Qui
Athalie, 48	Ô mon fils, de ce nom j'	ose encor vous nommer	, Souffrez cette tendresse, et pardonnez à les larmes Que m'
Athalie, 17	dans cette guerre Les flèches de les méchants	prétendent s'adresser	. Faisons, disent -ils, cesser Les fêtes de Dieu sur
Bajazet, 75	, On l'abandonne à les mains qui	daignent le nourrir	. L'autre trop redoutable, et trop digne d'envie,
Bajazet, 81	fils naissant eut rassuré l'État, N'	osait sacrifier	ce frère à sa vengeance, Ni de le sang ottoman proscrire
Bajazet, 94	leur devoir, Leurs captifs dans ce trouble	osèrent s'entrevoir	. Roxane vit le prince. Elle ne put lui taire L'
Bajazet, 100	celer, L'embarras irritant de ne s'	oser parler	, Même témérité, périls, craintes communes, Lièrent pour jamais
Bajazet, 101	éclairer, Sortis de leur devoir, n'	osèrent y rentrer	. OSMIN_Quoi ! Roxane d'abord leur découvrant son âme, Osa-t-elle
Bajazet, 120	ma foi ne l'arrête, S'il	ose quelque jour me demander	ma tête... Je ne m'explique point, Osmin. Mais
Bajazet, 121	m'explique point, Osmin. Mais je	prétends Que du_moins il faudra	la demander longtemps. Je sais rendre à les sultans de fidèles
Bajazet, 27	. ATALIDE_Vous épouser ! Ô ciel ! Que	prétendez -vous faire	? ROXANE_Je sais que de les sultans l'usage m'est contraire
Bajazet, 30	tant_de beautés qui briguent leur tendresse, Ils	daignent quelquefois choisir	une maîtresse, Mais toujours inquiète avec tous ses appas, Esclave
Bajazet, 44	lui par un juste hyménée, S'il	ose m'alléguer	une odieuse loi, Quand je fais tout pour lui, s'
Bajazet, 23	De l'honneur ottoman ses successeurs jaloux Ont	daigné rarement prendre	le nom d'époux. Mais l'amour ne suit point ces
Bajazet, 25	fier À son trône, à son lit	daigna l'associer	. Sans_qu'elle eut d'autres droits à le rang d'impératrice
Bajazet, 39	leur suffrage, Peut-être avec le temps j'	oserai davantage. Ne précipitons	rien. Et daignez commencer À me mettre en état de vous
Bajazet, 41	oserai davantage. Ne précipitons rien. Et	daignez commencer	À me mettre en état de vous récompenser. ROXANE_Je vous entends
Bajazet, 100	, c'est à vous de choisir.	Daignez m'ouvrir	à le trône un chemin légitime, Ou_bien, me voila prêt
Bajazet, 36	moi le comble de les disgrâces, J'	osai tout jeune encor la chercher	sur vos traces. Et l'indigne prison ou je suis renfermé
Bajazet, 47	soin de lui plaire, Si vos soupirs	daignaient lui faire	pressentir Qu'un jour... BAJAZET_Je vous entends, je n'y
Bajazet, 70	la mienne est certaine, Que vous n'	osiez pour moi ce_que j'osais	pour vous ? Peut-être il suffira d'un mot un_peu plus doux
Bajazet, 88	. Allez encore un coup, je n'	ose m'y trouver	. Dites... tout ce_qu'il faut, Seigneur, pour vous
Bajazet, 22	rappelé ses pas, Je n'ai point	prétendu qu'il ne m'obéît	pas. Mais après les adieux que je venais d'entendre,
Bajazet, 1	? Que veut -on ? ZATIME_Pardonnez si j'	ose vous troubler	. Mais, Madame, un esclave arrive de l'armée ;
Bajazet, 26	mes soins sur le trône élevé, Il	osera trahir	l'amour qui l'a sauvé. Et si de mes bienfaits
Bajazet, 27	de mes bienfaits lâchement libérale Sa main en	osera couronner	ma rivale. Je saurai bien toujours retrouver le moment De punir
Bajazet, 31	Madame, où je vous vois, J'	osais vous faire	entendre une timide voix ; Bajazet, il est vrai, trop
Bajazet, 18	. Oui, puisque jusque-là l'ingrat m'	ose outrager	, Moi-même, s'il le faut, je m'offre à
Bajazet, 32	Je connais peu l'amour. Mais j'	ose te répondre	Qu'il n'est pas condamné puisqu'on le veut confondre, Que
Bajazet, 20	empire, Et_même votre amour, si j'	ose vous le dire	, Consultant vos bienfaits, les crut, et sur leur foi
Bajazet, 26	refus vous auraient exposée, Qu'après avoir	osé me voir	et me parler, Il était dangereux pour vous de reculer.
Bérénice, 7	Dis -lui qu'importun à regret, J'	ose lui demander	un entretien secret. ARSACE_Vous, Seigneur, importun ? Vous cet
Bérénice, 13	suite. La reine d'un regard a	daigné m'avertir	Qu'à votre empressement elle allait consentir. Et sans_doute elle attend
Bérénice, 5	présager Un honneur, qu'avec vous je	prétends partager	, Ce même Antiochus se cachant à ma vue, Me laisse
Bérénice, 43	jurer. Mais, puisqu'en ce moment j'	ose me déclarer	, Lorsque vous m'arrachiez cette injuste promesse, Mon coeur faisait
Bérénice, 33	sein sa gloire et sa patrie, Sans	oser toutefois se nommer	son époux. Rome l'alla chercher jusques à ses genoux,
Bérénice, 34	gloire : De mon propre intérêt je n'	ose vous parler	. Bérénice autrefois pouvait vous consoler. Avec plus_de plaisir vous m'
Bérénice, 12	de vos derniers adieux, Tremblant d'avoir	osé s'expliquer	devant elle, Votre coeur me contait son audace nouvelle ? Vous
Bérénice, 44	est à vous. Puisque aujourd'hui Titus ne	prétend plus lui plaire	, Songez que votre hymen lui devient nécessaire. ANTIOCHUS_Nécessaire ! ARSACE_À
Bérénice, 38	Peut-être de les malheurs, où vous n'	osez penser	. Je connais votre coeur. Vous devez vous attendre Que je
Bérénice, 80	quelque jour payer leur patience ! Que n'	oseront -ils point alors me demander	? Maintiendrai -je de les lois, que je ne puis garder
Bérénice, 3	puisse annoncer Un bonheur où peut-être il n'	ose plus penser	. ARSACE_Ah quel heureux destin en ces lieux vous renvoie, Seigneur
Britannicus, 92	nourrissez -vous le venin qui vous tue ?	Daignez avec César vous éclaircir	du_moins. AGRIPPINE. César ne me voit plus, Albine,
Britannicus, 14	eut toujours trop d'horreur. AGRIPPINE.	Prétendez -vous longtemps me cacher	l'empereur ? Ne le verrai -je plus_qu'à titre d'importune
Britannicus, 17	entre mon fils et moi ? Ne l'	osez -vous laisser	un moment sur sa foi ? Entre Sénèque et vous disputez -vous
Britannicus, 21	et moins je me figure Que vous m'	osiez compter	pour votre créature, Vous dont j'ai pu laisser vieillir l'
Britannicus, 22	, et mère de vos maîtres. Que	prétendez -vous donc ? Pensez	-vous que ma voix Ait fait un empereur pour m'en imposer
Britannicus, 31	mon père. Parmi tant_de héros je n'	ose me placer	. Mais il est de les vertus que je lui puis tracer
Britannicus, 56	? Toujours humble, toujours le timide Néron_N'	ose -il être	Auguste, et César que de nom ? Vous le dirai -je
Britannicus, 73	! AGRIPPINE. Ainsi sur l'avenir n'	osant vous assurer	Vous croyez que sans vous Néron va s'égarer. Mais vous
Britannicus, 91	empereur. Il le peut. Toutefois j'	ose encore lui dire	Qu'il doit avant ce coup affermir son empire, Et qu'
Britannicus, 110	me bannir ? Quand Burrhus à sa porte	ose me retenir	? BURRHUS. Madame, je vois bien_qu'il est temps de
Britannicus, 16	! Tu sais si de la servitude Je	prétends faire	encore une longue habitude. Tu sais si pour jamais de ma
Britannicus, 3	veux ignorer ses caprices. Mais je ne	prétends plus ignorer	ni souffrir Le ministre insolent qui les ose nourrir. Pallas de
Britannicus, 3	ignorer ni souffrir Le ministre insolent qui les	ose nourrir	. Pallas de ses conseils empoisonne ma mère ; Il séduit chaque
Britannicus, 41	vaine, Qui dès_qu'à ses regards elle	ose se fier	Sur le coeur de César ne les vienne essayer ; Seule dans
Britannicus, 41	comme une ignominie ; Fuit, et ne	daigne pas peut-être s'informer	Si_César est aimable, ou_bien s'il sait aimer ? Dis -moi
Britannicus, 78	de ses soins, Rarement de ses pleurs	daignent être	témoins. Trop heureux si bientôt la faveur d'un divorce,
Britannicus, 89	seul jusques ici contraire à vos désirs N'	osez par un divorce assurer	vos plaisirs. NÉRON. Et ne connais -tu pas l'implacable
Britannicus, 103	menace, J'écoute vos conseils, j'	ose les approuver	, Je m'excite contre elle et tâche à la braver.
Britannicus, 104	à sa vue, Soit que je n'	ose encor démentir	le pouvoir De ces yeux, où j'ai lu si longtemps
Britannicus, 25	souffrez sans en être offensée Qu'il vous	ose, Madame, expliquer	sa pensée. Car je ne croirai point que sans me consulter
Britannicus, 28	, Seigneur, que ses soupirs M'ont	daigné quelquefois expliquer	ses désirs. Il n'a point détourné ses regards d'une
Britannicus, 32	à l'empereur son père, Et j'	ose dire	encore, à vous, à votre mère : Vos désirs sont
Britannicus, 62	offrez tout_d'_un_coup la place d'Octavie. J'	ose dire	pourtant que je n'ai mérité Ni cet excès d'honneur,
Britannicus, 69	à la solide gloire Des honneurs dont César	prétend vous revêtir	, La gloire d'un refus, sujet à le repentir.
Britannicus, 79	, Seigneur, et je n'ai point	prétendu m'en cacher	. Cette sincérité sans_doute est peu discrète ; Mais toujours de mon
Britannicus, 113	plaire. JUNIE. Hélas ! Si j'	ose encor former	quelques souhaits, Seigneur, permettez -moi de ne le voir jamais
Britannicus, 16	quelque plainte ? Ma princesse, avez -vous	daigné me souhaiter	? Songiez -vous à les douleurs que vous m'alliez coûter ?
Britannicus, 25	ans vous consultiez la gloire, Si vous	daigniez, Seigneur, rappeler	la mémoire Des vertus d'Octavie, indignes de ce prix,
Britannicus, 5	. Quoi_qu'il en soit, si j'	ose expliquer	ma pensée, Ne vous souvenez plus_qu'il vous ait offensée.
Britannicus, 12	Écartait_Claudius d'un lit incestueux. Il n'	osait épouser	la fille de son frère. Le Sénat fut séduit. Une
Britannicus, 51	Vous attentez enfin jusqu'à ma liberté, Burrhus	ose sur moi porter	ses mains hardies. Et lorsque convaincu de tant_de perfidies Vous deviez
Britannicus, 56	les ont entendues, Que jadis (j'	ose ici vous le dire	entre nous) Vous n'aviez sous mon nom travaillé que pour
Britannicus, 91	vient écouter, À votre porte enfin n'	ose plus m'arrêter	. NÉRON. Oui, Madame, je veux que ma reconnaissance
Britannicus, 65	temps, nommez -moi les perfides Qui vous	osent donner	ces conseils parricides. Appelez votre frère, oubliez dans ses bras
Britannicus, 19	! Mais peut-être il fera ce_que vous n'	osez faire	. NÉRON. On répond de son coeur, et je vaincrai
Britannicus, 40	souscririez le premier, Heureux que sa bonté	daignât tout oublier	. NÉRON. Mais, Narcisse, dis -moi, que veux
Britannicus, 50	, leurs caprices pour guides ? Avez -vous	prétendu qu'ils se tairaient	toujours ? Est -ce à vous de prêter l'oreille à leurs
Britannicus, 53	Et serez -vous le seul que vous n'	oserez croire	? Mais, Seigneur, les Romains ne vous sont pas connus
Britannicus, 76	Quoi donc ! Ignorez -vous tout ce_qu'ils	osent dire	? «   Néron, s'ils en sont crus, n'
Britannicus, 46	un jour. Mais (si je l'	ose dire	) hélas ! Dans cette cour, Combien tout ce_qu'on dit
Britannicus, 18	nos dieux. César les voit partir sans	oser les distraire	. Narcisse plus hardi s'empresse pour lui plaire. Il vole
Britannicus, 27	sans dessein, ses yeux mal assurés N'	osent lever	à le ciel leurs regards égarés. Et l'on craint, si
Esther, 1	exilées ? ESTHER_Quel profane en ce lieu s'	ose avancer	vers nous ? Que vois -je ? Mardochée ? Ô mon père
Esther, 32	feu de tant_de saints prophètes, Allez,	osez à le roi déclarer	qui vous êtes. ESTHER_Hélas ! Ignorez -vous quelles sévères lois Aux
Esther, 62	C'est lui qui m'excitant à vous	oser chercher	, Devant moi, chère Esther, a bien voulu marcher.
Esther, 15	le moment marqué dans ton arrêt, Pour	oser de ton peuple embrasser	l'intérêt. Ce moment est venu. Ma prompte obéissance Va
Esther, 3	qu'à luire, Dans ce lieu redoutable	oses -tu m'introduire	? HYDASPE_Vous savez qu'on s'en peut reposer sur ma foi
Esther, 40	saint respect tous les Persans touchés, N'	osent lever	leurs fronts à la terre attachés, Lui fièrement assis, et
Esther, 40	mes regards un front séditieux, Et ne	daignerait pas au_moins baisser	les yeux. De le palais cependant il assiège la porte.
Esther, 47	se passe : Crois -tu que quelque voix	ose parler	pour lui ? Sur quel roseau fragile a -il mis son appui
Esther, 66	Un homme tel qu'Aman, lorsqu'on l'	ose irriter	, Dans sa juste fureur ne peut trop éclater. Il faut
Esther, 71	ils en couvraient la face. Un seul	osa d'Aman attirer	le courroux, Aussitôt de la terre ils disparurent tous. HYDASPE_Ce
Esther, 28	le Juif_Mardochée. C'est lui que je	prétends honorer	aujourd'hui. Ordonne son triomphe, et marche devant lui. Que
Esther, 37	le rend respectable à les dieux même.	Osez donc me répondre	, et ne me cachez pas Quel sujet important conduit ici vos
Esther, 48	admis à cet excès d'honneur. J'	oserai devant lui rompre	ce grand silence, Et j'ai, pour m'expliquer,
Esther, 45	chute désormais ne peut être qu'horrible.	Osez chercher	ailleurs un destin plus paisible. Regagnez l'Hellespont, et ces
Esther, 11	à les pieds de le roi. J'	ose vous implorer	et pour ma propre vie, Et pour les tristes jours d'
Esther, 29	entendiez parler ; Et que surtout Aman n'	ose point me troubler	. ASSUERUS_Parlez. ESTHER_Ô_Dieu ! confonds l'audace et l'imposture.
Esther, 38	redoutable. Les Juifs à d'autres dieux	osèrent s'adresser	. Roi, peuples en un jour tout se vit disperser.
Esther, 54	, ni d'autre dieu... ASSUERUS_Tais-toi.	Oses -tu donc parler	sans l'ordre de ton roi ? ESTHER_Notre ennemi cruel devant vous
Esther, 82	J'étais donc le jouet... Ciel,	daigne m'éclairer	. Un moment sans témoins cherchons à respirer. Le roi s'
Iphigénie, 29	? Qu'est ce_qu'on vous écrit ?	Daignez m'en avertir	. AGAMEMNON. Non, tu ne mourras point, je n'
Iphigénie, 75	éprouver, Et tu me punirais si j'	osais l'achever	. Arcas, je t'ai choisi pour cette confidence. Il
Iphigénie, 11	surprend, et me comble de joie ?	Daignez -vous avancer	le succès de mes voeux ? Et bientôt de les mortels suis
Iphigénie, 45	j'entends ? ACHILLE. Seigneur, qu'	osez -vous dire	? AGAMEMNON. Qu'il faut, Princes, qu'il faut
Iphigénie, 88	de vous abandonner Aux timides conseils qu'on	ose vous donner	. ULYSSE. Seigneur, vous entendez. Quelque prix qu'il
Iphigénie, 24	Le seul Agamemnon refusant la victoire, N'	ose d'un_peu_de sang acheter	tant_de gloire ? Et dès le premier pas se laissant effrayer,
Iphigénie, 29	sang j'explique cet obstacle, Que j'	ose pour ma fille accepter	le secours De quelque dieu plus doux qui veille sur ses jours
Iphigénie, 5	assiégés de témoins, Et les plus malheureux	osent pleurer	le_moins. ULYSSE. Je suis père, Seigneur. Et faible
Iphigénie, 18	je respire, Sans_que mère ni père ait	daigné me sourire	. J'ignore qui je suis. Et pour_comble_d'horreur, Un
Iphigénie, 7	? Et ma joie à vos yeux n'	ose -elle éclater	? Ne puis -je... AGAMEMNON. Hé bien, ma fille
Iphigénie, 22	À de_plus grands honneurs un roi peut -il	prétendre ? J'ai cru	n'avoir à le ciel que de les grâces à rendre.
Iphigénie, 37	la rigueur d'un long éloignement. N'	osez -vous sans rougir	être père un moment ? Vous n'avez devant vous qu'une
Iphigénie, 54	de les larmes. IPHIGÉNIE. Les dieux	daignent surtout prendre	soin de vos jours. AGAMEMNON. Les dieux depuis un temps
Iphigénie, 58	De son accueil condamnant la tristesse, J'	osais me plaindre	à lui de son peu_de tendresse. ACHILLE. Il est donc
Iphigénie, 6	? Il presse cet hymen, qu'on	prétend qu'il diffère	, Et vous cherche brûlant d'amour et de colère. Prêt
Iphigénie, 39	si doux ne privez point mes yeux.	Daignez ne point ici rougir	de ma présence. AGAMEMNON. J'avais plus espéré de votre
Iphigénie, 3	autel ? Fier de son nouveau rang m'	ose -il méconnaître	? Me croit -il à sa suite indigne de paraître ? Ou
Iphigénie, 5	de l'empire encor timide possesseur, N'	oserait -il d'Hélène ici montrer	la soeur ? Et pourquoi me cacher ? Et par quelle injustice
Iphigénie, 7	partions encore. La reine permettra que j'	ose demander	Un gage à votre amour, qu'il me doit accorder.
Iphigénie, 74	fille, je vous laisse. Seigneur,	daignez m'attendre	, et ne la point quitter. À mon perfide époux je
Iphigénie, 10	Et punir à_la_fois le cruel stratagème Qui s'	ose de mon nom armer	contre vous-même. IPHIGÉNIE. Ah ! demeurez, Seigneur, et
Iphigénie, 12	. Ah ! demeurez, Seigneur, et	daignez m'écouter	. ACHILLE. Quoi, Madame ! un barbare osera m'insulter
Iphigénie, 14	ACHILLE. Quoi, Madame ! un barbare	osera m'insulter	? Il voit que de sa soeur je cours venger l'outrage
Iphigénie, 25	a pu mépriser Apprenne de quel nom il	osait abuser	. IPHIGÉNIE. Hélas ! si vous m'aimez, si pour
Iphigénie, 27	m'aimez, si pour grâce dernière Vous	daignez d'une amante écouter	la prière, C'est maintenant, Seigneur, qu'il faut
Iphigénie, 15	en pleurs vous plaignez les ennuis, J'	ose vous dire	ici qu'en l'état où je suis, Peut-être assez_d'honneurs
Iphigénie, 77	l'unît à votre frère, Thésée avait	osé l'enlever	à son père. Vous savez, et Calchas mille fois vous
Iphigénie, 92	impitoyable père, Venez, si vous l'	osez, la ravir	à sa mère. Et vous, rentrez, ma fille,
Iphigénie, 18	! le puis -je croire ? Qu'on	ose de les fureurs avouer	la plus noire ? Vous pensez qu'approuvant vos desseins odieux,
Iphigénie, 52	de les rives de le Scamandre_Aux champs thessaliens	osèrent -ils descendre	? Et jamais dans Larisse un lâche ravisseur Me vint -il enlever
Iphigénie, 61	offensé ? Votre fille me plut, je	prétendis lui plaire	. Elle est de mes serments seule dépositaire. Content de son
Iphigénie, 84	, le chef de tant_de rois M'aurait	osé braver	pour la dernière fois. Je ne dis plus_qu'un mot,
Iphigénie, 45	, et tromper ma tendresse. En_vain vous	prétendez, obstinée	à mourir, Intéresser ma gloire à vous laisser périr. Ces
Iphigénie, 52	Qui ? moi ? Que contre un père	osant me révolter	, Je mérite la mort, que j'irais éviter ? Où
Iphigénie, 56	. C'est un titre qu'en_vain il	prétend me voler	. Ne fait -il de les serments que pour les violer ?
Iphigénie, 45	un peuple impatient vous entendez la voix.	Daignez m'ouvrir	vos bras pour la dernière fois, Madame, et rappelant votre
Iphigénie, 20	fils d'Atrée, Toi, qui n'	osas de le père éclairer	le festin, Recule, ils t'ont appris ce funeste chemin
Iphigénie, 11	dévouer. Le triste Agamemnon, qui n'	ose l'avouer	, Pour détourner ses yeux de les meurtres qu'il présage,
Mithridate, 63	exécuter. Mais enfin à mon tour je	prétends éclater	. Autant_que mon amour respecta la puissance D'un père, à
Mithridate, 65	flamme elle-même contraire Condamnera l'aveu que je	prétends lui faire	, Ou_bien quelques malheurs qu'il en puisse advenir Ce n'est
Mithridate, 56	défendre, Sans vous demander rien, sans	oser rien prétendre	. Que vous dirai -je enfin ? Lorsque je vous promets De
Mithridate, 56	Sans vous demander rien, sans oser rien	prétendre. Que vous dirai	-je enfin ? Lorsque je vous promets De vous mettre en état
Mithridate, 63	croyez qu'abusant de mon autorité, Je	prétends attenter	à votre liberté ! On vient, Madame, on vient...
Mithridate, 22	son heureux empire était alors unie. Il	daigna m'envoyer	ce gage de sa foi. Ce fut pour ma famille une
Mithridate, 39	? Qui vous dit qu'avec eux je	prétends m'allier	? MONIME. Mais vous-même, Seigneur, pouvez -vous le nier
Mithridate, 54	, Et de les indignes fils qui n'	osent le venger	? Ah ! ne languissons plus dans un coin de le Bosphore
Mithridate, 21	Et je ne puis encor, ni n'	oserais penser	Que ce fils si fidèle ait voulu m'offenser. Mais tous
Mithridate, 23	attendre ? L'_un_et_l'_autre à la reine ont -ils	osé prétendre	? Avec qui semble -elle en secret s'accorder ? Moi-même de
Mithridate, 23	? L'_un_et_l'_autre à la reine ont -ils osé	prétendre ? Avec qui semble	-elle en secret s'accorder ? Moi-même de quel oeil dois -je
Mithridate, 60	vient me la ravir, Et qui m'	ose offenser	, et n'ose me servir. L'aime -elle ? ARBATE
Mithridate, 60	Et qui m'ose offenser, et n'	ose me servir	. L'aime -elle ? ARBATE. Seigneur, je vois venir
Mithridate, 65	ma haine, Épargnez mes malheurs, et	daignez empêcher	Que je ne trouve encor ceux que je vais chercher. Arbate
Mithridate, 16	que désormais renonçant à vous plaire Je ne	prétende plus_qu'à vous tyranniser	? Mes malheurs en un mot me font -ils mépriser ? Ah
Mithridate, 18	voit prêt de tout perdre, et n'	ose se venger	. Mais de les fureurs de le roi que puis -je enfin
Mithridate, 43	regard favorable ? Vos pleurs pour Xipharès auraient	daigné couler	? MONIME. Oui, Prince, il n'est plus temps
Mithridate, 19	à Rome, mes fils, que je	prétends marcher	. Ce dessein vous surprend, et vous croyez peut-être Que le
Mithridate, 64	faix qui l'accable. Mais si j'	ose parler	avec sincérité, En êtes -vous réduit à cette extrémité ? Pourquoi
Mithridate, 77	, mon frère ! ô ciel ! Qu'	osez -vous proposer	? Vous voulez que le roi s'abaisse et s'humilie ?
Mithridate, 6	Et d'accord avec lui La reine aurait	osé me tromper	aujourd'hui ? Quoi ! De quelque côté que je tourne la vue
Mithridate, 28	en lui. Et quoi_que votre amour ait	osé se promettre	, Ce n'est qu'entre ses mains que je puis vous
Mithridate, 26	le_plus cher rarement épouvante. Et je n'	ose vous dire	à quelle cruauté Mithridate jaloux s'est souvent emporté. Peut-être c'
Mithridate, 29	, à le nom de les dieux,	daignez en profiter	. Par de nouveaux refus n'allez point l'irriter. Moins
Mithridate, 8	Seigneur ? MITHRIDATE. Quoi, Madame !	osez -vous balancer	? MONIME. Et ne m'avez -vous pas défendu d'y
Mithridate, 24	porter à le trône, où vous n'	osiez prétendre	? Ne me regardez point vaincu, persécuté. Revoyez -moi vainqueur
Mithridate, 24	à le trône, où vous n'osiez	prétendre ? Ne me regardez	point vaincu, persécuté. Revoyez -moi vainqueur, et partout redouté
Mithridate, 31	à mon coeur cette funeste image, Vous	osez à mes yeux rappeler	le passé, Vous m'accusez encor, quand je suis offensé
Mithridate, 60	. Jugez -en, puisque ainsi je vous	ose parler	, Et m'emporte au-delà de cette modestie Dont jusqu'à ce moment
Mithridate, 68	commander. Tout ce_qu'en vous quittant j'	ose vous demander	, Croyez (à la vertu je dois cette justice) Que
Mithridate, 29	point. Malgré leur insolence Les mutins n'	oseraient soutenir	ma présence. Je ne veux que les voir, je ne
