Reference	LeftContext	Pivot	RightContext
Athalie, 25	tu lances, Grand_Dieu, dans ton juste	courroux	? N'es -tu plus le Dieu jaloux ? N'es -tu
Athalie, 36	s'émouvoir. J'ai vu de son	courroux	tomber la violence. Princesse, en ce péril vous gardez le
Bajazet, 18	J'apaiserai, si je puis, son	courroux	. N'exigez rien de_plus. Ni la mort, ni vous-même
Bajazet, 8	crédule, Que de me soupçonner d'un	courroux	ridicule ; Moi jaloux ? Plut à le ciel qu'en me
Bajazet, 17	OSMIN_Hé ! Laissez -les entre eux exercer leur	courroux	. Bajazet veut périr, Seigneur, songez à vous. Qui
Bajazet, 55	Poursuivez, s'il le faut, un	courroux	légitime, Aux ordres d'Amurat hâtez -vous d'obéir. Mais
Bajazet, 10	Cette esclave le sait. ACOMAT_Crains mon juste	courroux	. Malheureuse, réponds. ZAÏRE_Madame ! ATALIDE_Hé bien, Zaïre ?
Bérénice, 21	Quoi ? Même en la perdant redouter son	courroux	? Belle reine : et pourquoi vous offenseriez -vous ? Viens -je
Bérénice, 35	s'il vous garde encore un reste de	courroux	, Je conjure les dieux d'épuiser tous les coups, Qui
Britannicus, 20	Mais je ne prétends pas qu'un impuissant	courroux	Dégage ma parole, et m'acquitte envers vous. Je ne
Britannicus, 59	de ces lieux, Le coeur plein_d'un	courroux	qu'il cachait à vos yeux, D'une cour qui le
Britannicus, 35	. Chacun semble de les yeux approuver mon	courroux	: La mère de Néron se déclare pour nous ; Rome de
Britannicus, 15	, C'est que vous appuyez vous-même son	courroux	, Et que vous lui donnez de les armes contre vous.
Britannicus, 4	temps en vains regrets, Animés de le	courroux	qu'allume l'injustice Viennent de confier leur douleur à Narcisse.
Britannicus, 13	ce discours vous blesse, Et que votre	courroux	tremblant, irrésolu, Craint déjà d'obtenir tout ce_qu'il a
Britannicus, 23	, ingrate, criminelle, Digne de mon	courroux	. Mais je sens malgré moi Que je ne le crois pas
Britannicus, 2	Retirez -vous, Seigneur, et fuyez un	courroux	Que ma persévérance allume contre vous. Néron est irrité. Je
Britannicus, 20	. Tant_d'horreurs n'avaient point épuisé son	courroux	, Madame. Il me restait d'être oublié de vous.
Britannicus, 62	Vous avez vu cent fois nos soldats en	courroux	Porter en murmurant leurs aigles devant vous, Honteux de rabaisser par
Britannicus, 91	punisse l'audace, Que_de_Britannicus on calme le	courroux	, Que_Junie à son choix puisse prendre un époux, Qu'ils
Britannicus, 3	, Et si j'ai mérité cet injuste	courroux	. NÉRON. Je ne vous flatte point, je me plaignais
Britannicus, 40	à tout ce grand éclat, à ce	courroux	funeste On verrait succéder un silence modeste, Que vous-même à la
Esther, 43	, et d'un mortel vous craignez le	courroux	! Que dis -je, votre vie, Esther, est -elle
Esther, 20	pas. Commande en me voyant que son	courroux	s'apaise, Et prête à mes discours un charme qui lui
Esther, 71	. Un seul osa d'Aman attirer le	courroux	, Aussitôt de la terre ils disparurent tous. HYDASPE_Ce n'est
Esther, 35	Des astres ennemis j'en crains moins le	courroux	. Et crois que votre front prête à mon diadème Un éclat
Esther, 8	paru comme un tonnerre horrible. ÉLISE_Comment ce	courroux	si terrible En un moment s'est -il évanoui ? UNE_DES_ISRAELITES,
Esther, 39	forcer votre bouche timide ? UNE_AUTRE_ISRAELITE_Peut-être_Assuérus frémissant de	courroux	, Si nous ne courbons les genoux Devant une muette idole,
Esther, 4	vous, Dissimulez, Seigneur, cet aveugle	courroux	. Éclaircissez ce front où la tristesse est peinte. Les rois
Esther, 60	, Et dans ce palais même en_proie_à son	courroux	, Le sang de vos sujets regorger jusqu'à vous. Et que
Esther, 23	, Daignez d'un roi terrible apaiser le	courroux	. Sauvez Aman, qui tremble à vos sacrés genoux. ASSUERUS_Quoi
Iphigénie, 49	protège Troie. Et par_trop de présages Son	courroux	nous défend d'en chercher les passages. ACHILLE. Quels présages
Iphigénie, 51	ACHILLE. Quels présages affreux nous marquent son	courroux	? AGAMEMNON. Vous-même consultez ce_qu'il prédit de vous. Que
Iphigénie, 17	Grecs frustrés de leur victime Peut permettre un	courroux	, qu'ils croiront légitime ? Gardez -vous de réduire un peuple
Iphigénie, 3	Seigneur, nous partions. Et mon juste	courroux	Laissait bientôt Achille et le camp loin de nous. Ma fille
Iphigénie, 33	ne sais qui m'arrête et retient mon	courroux	, Que par un prompt avis de tout ce qui se passe
Iphigénie, 79	Fuyez. Je ne crains point votre impuissant	courroux	. Et je romps tous les noeuds, qui m'attachent à
Mithridate, 4	aimé de vous Pharnace eût en_effet mérité ce	courroux	? Pharnace aurait -il part à ce désordre extrême ? MONIME.
Mithridate, 136	je la fais garder, Ni mon juste	courroux	n'ont pu t'intimider. Traître, pour les Romains tes
Mithridate, 14	furieux, Qu'arme contre son frère un	courroux	envieux, Ou dont le désespoir me troublant par de les fables
Mithridate, 34	Par quel charme secret laissé -je retenir Ce	courroux	si sévère, et si prompt à punir ? Profitez du_moment_que mon
Mithridate, 34	Ô Monime ! Ô mon fils ! Inutile	courroux	! Et vous heureux Romains ! Quel triomphe pour vous, Si
Phèdre, 7	. Hippolyte te fuit, et bravant ton	courroux	, Jamais à tes autels n'a fléchi les genoux. Ton
Phèdre, 16	braver ici ma haine, Et tenter un	courroux	que je retiens à_peine. C'est bien assez pour moi de
Phèdre, 83	. Ah ! Que ton impudence excite mon	courroux	! HIPPOLYTE. Quel temps à mon exil, quel lieu prescrivez
Phèdre, 53	mon époux Contre un sang odieux réveiller le	courroux	. Qu'il ne se borne pas à de les peines légères
Phèdre, 26	Je permets tout le reste à mon libre	courroux	. Sortez de l'esclavage où vous êtes réduite. Osez me
Phèdre, 72	. Elle venait, Seigneur, fuyant votre	courroux	, À la face de les dieux l'accepter pour époux.
Phèdre, 31	s'en est punie, et fuyant mon	courroux	A cherché dans les flots un supplice trop doux. Le fer
Thébaïde, 18	m'ont de rien servi, Et le	courroux	de le sort voulait être assouvi. Ô toi, soleil,
Thébaïde, 22	secours d'un crime, Et de votre	courroux	triomphant aujourd'hui Contenter votre frère, et régner avec lui. ÉTÉOCLE
Thébaïde, 13	laisser gagner une_telle victoire ? CRÉON. Leur	courroux	est trop grand... JOCASTE. Il peut être adouci. CRÉON
Thébaïde, 71	Tout vous semble permis, mais craignez mon	courroux	. Vos libertés enfin retomberaient sur vous. ANTIGONE. L'intérêt
Thébaïde, 12	moi leur douceur ordinaire ? Souffrent -ils sans	courroux	mon ardente amitié ? Et de le mal qu'ils ont fait
Thébaïde, 28	Sur moi par ce départ j'attirai son	courroux	, Et pour tout dire, enfin, je m'éloignai de
Thébaïde, 13	Quel est donc ce grand mal que leur	courroux	annonce ? OLYMPE. Prince pour en juger écoutez leur réponse.
Thébaïde, 31	Et je ne vois que trop que le	courroux	céleste Vous rendra comme à nous cet honneur bien funeste, Et
Thébaïde, 44	quoi peut -il de le ciel mériter le	courroux	? Vous seule en mes soupirs êtes intéressée, C'est à
Thébaïde, 13	ne peuvent -ils point quand ils sont en	courroux	, Chercher de les criminels à qui le crime est doux ?
Thébaïde, 28	la guerre m'est mortelle, Et le	courroux	de le ciel me la rend trop cruelle ; Il s'arme
Thébaïde, 18	le haïr à_moitié, Et je crains son	courroux	moins que son amitié. Je veux pour donner_cours à mon ardente
Thébaïde, 9	Qu'ils entrent. Cette approche excite mon	courroux	. Qu'on hait un ennemi quand il est près_de nous !
Thébaïde, 25	j'en connais la cause. À le	courroux	de le vainqueur la mort de le roi l'expose. C'
Thébaïde, 35	. ANTIGONE. Rigoureuse fortune, achève ton	courroux	. Ah ! sans_doute voici le dernier de tes coups. CRÉON
Thébaïde, 65	dans les airs, Et son âme en	courroux	s'enfuit dans les Enfers. Tout mort qu'il est,
Thébaïde, 73	Il est vrai que de les Dieux le	courroux	embrasé, Pour nous faire périr semble s'être épuisé. Car
Thébaïde, 2	en allant. Attendez. ATTALE. Son	courroux	serait -il adouci ? Croyez -vous la fléchir ? CRÉON. Oui
Thébaïde, 8	il endurcit les frères, Il aigrit leur	courroux	, il fléchit sa rigueur, Et m'ouvre en_même_temps et leur
Thébaïde, 4	odieuse, Dût après le trépas vivre votre	courroux	, Inhumaine, je vais y descendre après vous. Vous y
Thébaïde, 16	. Le trône et vos présents excitent mon	courroux	. Un coup de foudre est tout ce_que je veux de vous
Britannicus, 36	les Nérons, qu'il puisa dans mon	flanc	. Toujours la tyrannie a d'heureuses prémices. De Rome pour
Iphigénie, 34	sang. De les victimes vous-même interrogez le	flanc	. De le silence de les vents demandez -leur la cause.
Iphigénie, 73	crime ? Pourquoi moi-même enfin me déchirant le	flanc	, Payer sa folle amour de le plus pur de mon sang
Phèdre, 50	fils qu'une Amazone a porté dans son	flanc	, Cet_Hippolyte... PHÈDRE. Ah dieux ! OENONE. Ce reproche
Phèdre, 86	sont témoins, ces dieux qui dans mon	flanc	Ont allumé le feu fatal à tout mon sang, Ces dieux
Phèdre, 39	une main sûre Il lui fait dans le	flanc	une large blessure. De rage et de douleur le monstre bondissant
Phèdre, 44	Un dieu, qui d'aiguillons pressait leur	flanc	poudreux. À_travers les rochers la peur les précipite. L'essieu
Thébaïde, 82	sang, Recherchez-en la source en ce malheureux	flanc	. Je suis de tous les deux la commune ennemie, Puisque
Thébaïde, 6	Leur exemple t'anime à te percer le	flanc	; Et toi seule verses de les larmes, Tous les_autres versent
Thébaïde, 55	frappé d'un coup qui lui perce le	flanc	, Lui cède la victoire, et tombe dans son sang.
Iphigénie, 14	. Ô monstre, que Mégère en ses	flancs	a porté ! Monstre ! que dans nos bras les Enfers ont
Phèdre, 157	toute heure entourée, Je cherchais dans leurs	flancs	ma raison égarée. D'un incurable amour remèdes impuissants ! En_vain
Phèdre, 44	peint ma fierté, Croit-on que dans ses	flancs	un monstre m'ait porté ? Quelles sauvages moeurs, quelle haine
Thébaïde, 11	sein nous renfermait tous deux, Dans les	flancs	de ma mère une guerre intestine De nos divisions lui marqua l'
Andromaque, 40	paraît affligé, Et se plaint d'un	hymen	si longtemps négligé. Parmi les déplaisirs où son âme se noie
Andromaque, 64	, de quel oeil Hermione peut voir Son	hymen	différé, ses charmes sans pouvoir   ? PYLADE_Hermione, Seigneur,
Andromaque, 34	pieds jusqu'à votre colère. Vous-même à cet	hymen	venez la disposer. Est -ce sur un rival qu'il s'
Andromaque, 48	détestera, qui toute votre vie Regrettant un	hymen	tout prêt à s'achever, Voudra... ORESTE_C'est pour cela
Andromaque, 2	ai vu Pyrrhus, Madame, et votre	hymen	s'apprête. HERMIONE_On le dit. Et de_plus, on vient
Andromaque, 5	de lui. Comptez depuis quel temps votre	hymen	se prépare. Il a parlé, Madame, et Pyrrhus se
Andromaque, 15	vous conduis à le temple, où son	hymen	s'apprête. Je vous ceins de le bandeau préparé pour sa
Andromaque, 33	retrouve en toi. Si d'un heureux	hymen	la mémoire t'est chère, Montre à le fils à quel
Andromaque, 48	parle de moi. Fais -lui valoir l'	hymen	, où je me suis rangée   ; Dis-lui, qu'avant
Andromaque, 87	vais seule à le temple, où leur	hymen	s'apprête, Où vous n'osez aller mériter ma conquête.
Andromaque, 55	la gloire de vous plaire, Achevez votre	hymen	, j'y consens. Mais du_moins Ne forcez pas mes yeux
Andromaque, 7	ai vu vers le temple, où son	hymen	s'apprête, Mener en conquérant sa nouvelle conquête, Et d'
Andromaque, 48	de douleur le temple retentisse. De leur	hymen	fatal troublons l'événement, Et qu'ils ne soient unis,
Andromaque, 9	Grecs bravés en leur ambassadeur Dussent de son	hymen	relever la splendeur. Enfin avec transport prenant son diadème, Sur
Bajazet, 29	une superbe loi De ne point à l'	hymen	assujettir leur foi. Parmi tant_de beautés qui briguent leur tendresse,
Bajazet, 33	même Amurat ne me promit jamais Que l'	hymen	dut un jour couronner ses bienfaits. Et moi qui n'aspirais
Bajazet, 37	à sa perte assez autorisés Par le fatal	hymen	que vous me proposez. Que vous dirai -je enfin ? Maître
Bajazet, 27	en faire une image si noire ? L'	hymen	de Soliman ternit -il sa mémoire ? Cependant Soliman n'était point
Bajazet, 29	de ma vie, Qui d'un servile	hymen	feraient l'ignominie. Soliman n'avait point ce prétexte odieux.
Bajazet, 32	. Et sans subir le joug d'un	hymen	nécessaire, Il lui fit de son coeur un présent volontaire.
Bajazet, 40	tout prêts, Qui m'offre ou son	hymen	, ou la mort infaillible ; Tandis_qu'a mes périls Atalide sensible
Bajazet, 25	fiant enfin a ma reconnaissance, D'un	hymen	infaillible a formé l'espérance. Moi-même rougissant de sa crédulité,
Bajazet, 28	était point lié, L'offre de mon	hymen	l'eut -il tant effrayé ? N'eut -il pas sans regret
Bérénice, 25	Aujourd'hui qu'il peut tout, que votre	hymen	s'avance, Exemple infortuné d'une longue constance, Après cinq
Bérénice, 52	de le mien. ARSACE_Comment ? ANTIOCHUS_Sur son	hymen	j'attends qu'elle s'explique. Si sa bouche s'accorde
Bérénice, 54	. ARSACE_Mais qui rend à vos yeux cet	hymen	si funeste ? ANTIOCHUS_Quand nous serons partis, je te dirai le
Bérénice, 7	, Madame ? Et selon ce discours L'	hymen	va succéder à vos longues amours ? BÉRÉNICE_Seigneur, je vous veux
Bérénice, 12	ses lois m'épouvante pour vous. L'	hymen	chez les Romains n'admet qu'une Romaine. Rome hait tous
Bérénice, 30	les fruits illégitimes, Qui naissent d'un	hymen	contraire à ses maximes. D'ailleurs, vous le savez,
Bérénice, 35	à nos yeux Allumé le flambeau d'un	hymen	odieux. Vous m'avez commandé surtout d'être sincère. De
Bérénice, 52	je l'aime encor plus_que_jamais, Lorsqu'un heureux	hymen	joignant nos destinées Peut payer en un jour les voeux de cinq
Bérénice, 13	contait son audace nouvelle ? Vous fuyez un	hymen	qui vous faisait trembler. Cet hymen est rompu. Quel soin
Bérénice, 14	un hymen qui vous faisait trembler. Cet	hymen	est rompu. Quel soin peut vous troubler ? Suivez les doux
Bérénice, 44	prétend plus lui plaire, Songez que votre	hymen	lui devient nécessaire. ANTIOCHUS_Nécessaire ! ARSACE_À ses pleurs accordez quelques jours
Bérénice, 19	las de tant_d'alarmes, Par un heureux	hymen	je tarisse vos larmes. En quelque extrémité que vous m'ayez
Britannicus, 55	précipiter. Par moi seule éloigné de l'	hymen	d'Octavie, Le frère de Junie abandonna la vie, Silanus
Britannicus, 87	, J'ai flatté son amour d'un	hymen	qu'il espère. À ma confusion Néron veut faire voir Qu'_Agrippine
Britannicus, 77	un reste de tendresse M'attache à son	hymen	, et plaigne sa jeunesse. Mes yeux depuis_longtemps fatigués de ses
Britannicus, 88	ce divorce heureux. Tibère, que l'	hymen	plaça dans sa famille, Osa bien à ses yeux répudier sa
Britannicus, 57	, Répudie_Octavie, et me fait dénouer Un	hymen	que le ciel ne veut point avouer. Songez -y donc,
Britannicus, 23	vaincrai le mien. NARCISSE. Et l'	hymen	de Junie en est -il le lien ? Seigneur, lui faites
Britannicus, 28	. Il aspirait plus loin qu'à l'	hymen	de Junie. De vos propres bontés il vous aurait punie.
Iphigénie, 18	de Jupiter issu de tous côtés, L'	hymen	vous lie encore à les dieux dont vous sortez. Le jeune
Iphigénie, 19	, Recherche votre fille, et d'un	hymen	si beau Veut dans Troie embrasée allumer le flambeau. Quelle gloire
Iphigénie, 91	veut désormais jusques à son retour Différer cet	hymen	, que pressait son amour. Ajoute, tu le peux,
Iphigénie, 25	menacent tous ? Ô ciel ! Pour un	hymen	quel temps choisissez -vous ? Tandis_qu'à nos vaisseaux la mer toujours
Iphigénie, 27	, irritant les destins, Préparât d'un	hymen	la pompe et les festins ? Ah Seigneur ! est -ce ainsi_que
Iphigénie, 36	Seigneur, souffrez que je coure hâter Un	hymen	, dont les dieux ne sauraient s'irriter. Transporté d'une
Iphigénie, 46	, Doris, si passant_tout le reste Cet	hymen	de mes maux était le_plus funeste ? DORIS. Quoi ! Madame
Iphigénie, 84	dois une triste naissance. Ou plutôt leur	hymen	me servira de loi. S'il s'achève, il suffit
Iphigénie, 7	un coup notre gloire offensée. Pour votre	hymen	Achille a changé de pensée, Et refusant l'honneur qu'on
Iphigénie, 15	attendent le retour ? Rompons avec plaisir un	hymen	qu'il diffère. J'ai fait de mon dessein avertir votre
Iphigénie, 3	mots m'ont -ils laissée ! Pour mon	hymen	Achille a changé de pensée. Il me faut sans honneur retourner
Iphigénie, 6	et de nous arrêter ? Il presse cet	hymen	, qu'on prétend qu'il diffère, Et vous cherche brûlant
Iphigénie, 21	? Laissez de vos femmes suivie À cet	hymen	sans vous marcher Iphigénie. CLYTEMNESTRE. Qui ? moi ? Que
Iphigénie, 30	armée en furie. Je vois déjà l'	hymen	, pour mieux me déchirer, Mettre en vos mains le feu
Iphigénie, 53	, à Achille. Et voilà donc l'	hymen	où j'étais destinée ! ARCAS. Le roi pour vous tromper
Iphigénie, 18	sur un autel. D'un appareil d'	hymen	couvrant ce sacrifice, Il veut que ce soit moi qui vous
Iphigénie, 46	ERIPHILE. Rentrons. Et pour troubler un	hymen	odieux, Consultons de les fureurs qu'autorisent les dieux. CLYTEMNESTRE
Iphigénie, 78	fois vous l'a dit, Qu'un	hymen	clandestin mit ce prince en son lit, Et qu'il en
Iphigénie, 5	être immolée, Et que d'un faux	hymen	nous abusant tous deux, Vous voulez me charger d'un emploi
Iphigénie, 63	mes serments seule dépositaire. Content de son	hymen	, vaisseaux, armes, soldats, Ma foi lui promis tout
Iphigénie, 47	ma faveur se voudrait honorer, Si mon	hymen	prochain ne peut vous assurer ? Ma gloire, mon amour,
Iphigénie, 26	Thésée avec Hélène uni secrètement Fit succéder l'	hymen	à son enlèvement. Une fille en sortit, que sa mère
Mithridate, 38	. Mais au_lieu_d'offrir à ses beautés Un	hymen	, et de les voeux dignes d'être écoutés, Il crut
Mithridate, 41	, Ou pour venger sa foi par cet	hymen	trompée, Ou ménageant pour moi la faveur de Pompée, Elle
Mithridate, 8	main m'attacher à son sort Par un	hymen	pour moi plus cruel que la mort. Sous quel astre ennemi
Mithridate, 10	née ? À le joug d'un autre	hymen	sans amour destinée, À_peine je suis libre, et goûte quelque
Mithridate, 12	Confonde_les_Romains dont il cherche l'appui, Jamais	hymen	formé sous le_plus noir auspice De l'hymen que je crains n'
Mithridate, 12	hymen formé sous le_plus noir auspice De l'	hymen	que je crains n'égala le supplice. Et si Monime en
Mithridate, 46	malheureux amour, Contente et résolue à l'	hymen	de mon père, Tous les malheurs de le fils ne vous
Mithridate, 8	, sans attendre plus tard, Ainsi_que notre	hymen	presser notre départ. Nos intérêts communs, et mon coeur le
Mithridate, 25	obéir. Esclave couronnée Je partis pour l'	hymen	où j'étais destinée. Le roi qui m'attendait au_sein_de ses
Mithridate, 54	le_temps_que votre âme empressée Forme d'un doux	hymen	l'agréable pensée, Ce roi, que l'Orient tout_plein_de ses
Mithridate, 40	, Et s'offrir d'assurer par un	hymen	prochain Le bandeau qu'elle avait reçu de votre main. MITHRIDATE
Mithridate, 55	mon choix par votre empressement. Achevez cet	hymen	. Et repassant l'Euphrate_Faites voir à l'Asie un autre Mithridate
Mithridate, 112	qui vous est destiné. Arbate à cet	hymen	chargé de vous conduire De votre obéissance aura soin de m'instruire
Mithridate, 132	entends. Je sais pourquoi tu fuis l'	hymen	où je t'envoie. Il te fâche en ces lieux d'
Mithridate, 135	Ton amour criminel Prétendait l'arracher à l'	hymen	paternel. Ni l'ardeur dont tu sais que je l'ai
Mithridate, 12	j'y remonte. Quel temps pour un	hymen	, qu'une fuite si prompte, Madame ! Et de quel
Mithridate, 76	Madame, et sans plus résister Achevez un	hymen	qui vous y fait monter. MONIME. Quoi vous me demandez
Phèdre, 60	soumise à sa tutelle Jamais les feux d'	hymen	ne s'allument pour elle. Dois -je épouser ses droits contre
Phèdre, 151	d'Égée, Sous les lois de l'	hymen	je m'étais engagée, Mon repos, mon bonheur semblait être
Phèdre, 169	et cachant mes ennuis, De son fatal	hymen	je cultivais les fruits. Vaines précautions ! Cruelle destinée ! Par
Phèdre, 29	. Les soupçons importuns Sont d'un second	hymen	les fruits les plus communs. Toute autre aurait pour moi pris
Phèdre, 57	notre foi ne dépend de personne. L'	hymen	n'est point toujours entouré de flambeaux. À les portes de
Thébaïde, 34	d'Argos indignement soumis, Et que l'	hymen	attache à nos fiers ennemis ? Lorsque le roi d'Argos l'
Thébaïde, 35	, L'amour eut peu_de part à cet	hymen	honteux, Et la seule fureur en alluma les feux. Thèbes
Bajazet, 7	. Moi seule, j'ai tissu le	lien	malheureux Dont tu viens d'éprouver les détestables noeuds. Et je
Bérénice, 50	ce_que l'honneur exige. Rompons le seul	lien	... BÉRÉNICE, en sortant. Non, laissez -moi, vous
Britannicus, 14	. Bientôt si je ne romps ce funeste	lien	, Ma place est occupée, et je ne suis plus rien
Britannicus, 11	je voulais amener sa tendresse, Mais ce	lien	de le sang qui nous joignait tous deux, Écartait_Claudius d'un
Britannicus, 23	l'hymen de Junie en est -il le	lien	? Seigneur, lui faites -vous encor ce sacrifice ? NÉRON.
Mithridate, 4	trop cruelle à vous-même, Faire un affreux	lien	d'un sacré diadème ? Ah ! ne voyez -vous pas,
Phèdre, 68	! Quel étrange captif pour un si beau	lien	! Mais l'offrande à vos yeux en doit être plus chère
Phèdre, 48	! Mais n'étant point unis par un	lien	si doux, Me puis -je avec honneur dérober avec vous ?
Alexandre, 50	de province en province, Jamais de ses	liens	il ne dégage un prince, Et pour mieux asservir les peuples
Alexandre, 16	pense, Seigneur, qu'en rompant mes	liens	, Alexandre à son tour brisa bientôt les siens. ÉPHESTION.
Alexandre, 95	mon amitié recevez Axiane. À de les	liens	si doux tous deux je vous condamne. Vivez, régnez tous
Andromaque, 6	troyens Nos deux pères sans nous formèrent ces	liens	, Et que sans consulter ni mon choix ni le vôtre,
Bajazet, 67	Qu'engagée avec toi par de si forts	liens	, Je ne puis séparer tes intérêts de les miens. Mais
Bérénice, 50	sévère Eût voulu de sa vie étendre les	liens	, Aurais donné mes jours pour prolonger les siens. Tout cela
Bérénice, 65	Qu'une amitié si belle ait d'éternels	liens	; Que mon nom soit toujours dans tous vos entretiens. Pour
