Reference	LeftContext	Pivot	RightContext
Britannicus, 79	sa voix sur un théâtre, À réciter	de les chants qu'	il veut qu'on idolâtre, Tandis_que de les soldats de moments
Britannicus, 81	éblouir vos yeux de sa splendeur, Dans	de les lieux où	chacun me fuit et le révère, Aux pompes de sa cour
Britannicus, 31	sort vous ait servie ; Soit qu'instruit	de les complots qui	menaçaient sa vie, Sur ma fidélité César s'en soit remis
Esther, 41	sans_doute agissait sur son coeur. Enfin avec	de les yeux où	régnait la douceur, " Soyez reine ", dit -il ;
Esther, 67	fureur ne peut trop éclater. Il faut	de les châtiments dont	l'univers frémisse ; Qu'on tremble, en comparant l'offense
Esther, 10	écarte, qu'il fuie. Il est	de les contretemps qu'	il faut qu'un sage essuie. Souvent avec prudence un outrage
Iphigénie, 43	-il pardonner ? ERIPHILE. Vous me donnez	de les noms qui	doivent me surprendre, Madame. On ne m'a pas instruite
Iphigénie, 46	Et pour troubler un hymen odieux, Consultons	de les fureurs qu'	autorisent les dieux. CLYTEMNESTRE. Ægine, tu le vois,
Iphigénie, 72	, à mes ordres soumis, Se couvrir	de les lauriers qui	vous furent promis, Et par d'heureux exploits forçant la destinée
Iphigénie, 11	me secondez ? Ce n'est que par	de les pleurs que	vous me répondez. Vous fiez -vous encore à de si faibles
Iphigénie, 65	! épargnez la triste Iphigénie. Asservie à	de les lois que	j'ai dû respecter, C'est déjà trop pour moi,
Mithridate, 25	faveur de les soldats, Et j'aurai	de les secours que	je n'explique pas. M'en croirez -vous ? Courons assurer
Mithridate, 4	père qui vous aime. Vous avez cru	de les bruits que	j'ai semés moi-même. Je vous crois innocents puisque vous le
Mithridate, 10	quels malheurs poussé dans le Bosphore_J'y trouve	de les malheurs qui	m'attendaient encore. Toujours de le même amour tu me vois
Mithridate, 79	importe, il me faut obéir. Inventez	de les raisons qui	puissent l'éblouir. D'un héros tel que vous c'est
Mithridate, 8	d'où vient qu'il diffère À seconder	de les voeux qu'	autorise son père ? Son père en me quittant me l'allait
Phèdre, 10	affranchir d'une austère tutelle. Je révoque	de les lois dont	j'ai plaint la rigueur, Vous pouvez disposer de vous,
Thébaïde, 53	afin_de le gagner ? Est -ce donc sur	de les morts que	vous voulez régner ? Thèbes avec raison craint le règne d'un
Thébaïde, 99	vagabond je quitte mes États, Pour observer	de les lois qu'	il ne respecte pas ? De ses propres forfaits serai -je la
