Reference	LeftContext	Pivot	RightContext
Bajazet, 6	de moi ces doux emportements, Tels que	j'en vois paraître	à le coeur de ces amants. Mais si par d'autres
Bajazet, 28	contre tous mes remords, Vous-même contre moi	je vous vois irritée	Reprocher votre mort à mon âme agitée. Je vois enfin,
Bajazet, 19	je l'ai rencontré. J'ai cru	le voir sortir	tel qu'il était entré. Mais, Madame, après_tout,
Bajazet, 23	attend. Faisons mieux. Sur tout ce_que	j'ai vu fermons	plutôt les yeux. Laissons de leur amour la recherche importune.
Bajazet, 37	ce coeur préoccupé, Qui lui-même craignait de	se voir détrompé	. Moi ! Qui de ce haut rang qui me rendait si
Bajazet, 47	. Dans les mains de les muets viens	la voir expirer	. Et libre d'un amour à ta gloire funeste Viens m'
Bajazet, 12	. Je jure par le ciel, qui	me voit confondue	, Par ces grands Ottomans, dont je suis descendue, Et
Bajazet, 5	l'amant. Lui-même d'aussi loin qu'	il nous a vus paraître	. «   Adorez, a -il dit, l'ordre de
Bérénice, 42	devez attendre Le fruit de tant_de sang qu'	ils vous ont vu répandre	. Si, pressé de le désir de revoir vos États,
Bérénice, 20	sa victoire. Tous ces yeux, qu'	on voyait venir	de_toutes_parts Confondre sur lui seul leurs avides regards ; Ce port majestueux
Bérénice, 73	qu'il la remène. Demain Rome avec	lui verra partir	la reine. Elle en sera bientôt instruite par ma voix,
Bérénice, 65	ne l'abandonnez pas. Que l'Orient	vous voie arriver	à sa suite ; Que ce soit un triomphe, et non
Bérénice, 17	où l'amour vous invite. ANTIOCHUS_Arsace,	je me vois chargé	de sa conduite. Je jouirai longtemps de ses chers entretiens,
Bérénice, 38	pleurs à quel point elle l'aime.	Je la verrai gémir	, je la plaindrai moi-même. Pour fruit de tant_d'amour j'
Bérénice, 14	vous éloigner. ANTIOCHUS_Moi, je demeurerai pour	me voir dédaigner	? De les froideurs de Titus je serai responsable ? Je me
Bérénice, 16	les froideurs de Titus je serai responsable ?	Je me verrai puni	parce_qu'il est coupable ? Avec quelle injustice, et quelle indignité
Bérénice, 6	ses yeux le trouble de votre âme.	J'ai vu couler	de les pleurs qu'il voulait retenir. BÉRÉNICE_Vient-il ? PHÉNICE_N'en
Bérénice, 44	fruit de mes bienfaits ? L'univers a	-il vu changer	ses destinées ? Sais -je combien le ciel m'a compté de
Bérénice, 4	Et j'ai honte de le trouble où	je la vois tomber	. J'ai vu devant mes yeux Rome entière assemblée. Le
Bérénice, 27	frapper ma vue, Si toujours à mourir	je vous vois résolue	, S'il faut qu'à tous moments je tremble pour vos
Bérénice, 50	toujours. Votre coeur s'est troublé,	j'ai vu couler	vos larmes. Bérénice, Seigneur, ne vaut point tant_d'alarmes
Britannicus, 20	. Excité d'un désir curieux Cette nuit	je l'ai vue arriver	en ces lieux, Triste, levant à le ciel ses yeux
Britannicus, 85	autant_de liens qui retiennent Junie. Tout ce_que	vous voyez conspire	à vos désirs, Vos jours toujours sereins coulent dans les plaisirs
Britannicus, 4	Dis -lui... Je suis perdue, et	je le vois paraître	. BRITANNICUS. Madame, quel bonheur me rapproche de vous ?
Britannicus, 6	de sa peine une image charmante, Et	je l'ai vu douter	de le coeur de son amante. Je la suis. Mon
Britannicus, 4	. Et de quel oeil Ma mère a	-elle vu confondre	son orgueil ? BURRHUS. Ne doutez point, Seigneur, que
Britannicus, 5	sans blesser mon amour, Au plaisir de	me voir justifier	un jour. Votre image sans_cesse est présente à mon âme.
Britannicus, 10	braver, Et ne s'attendaient pas lorsqu'ils	nous virent naître	, Qu'un jour Domitius me dût parler en maître. NÉRON
Britannicus, 46	d'être vaincus dans leur propre science.	J'ai vu favorisés	de votre confiance Othon, Sénécion, jeunes voluptueux, Et de
Britannicus, 47	, (Seul recours d'un ingrat qui	se voit confondu	) Par de nouveaux affronts vous m'avez répondu. Aujourd'hui je
Britannicus, 65	innocents, leur trouvera de les crimes.	Vous verrez mettre	à le rang de les jours infortunés Ceux où jadis la soeur
Britannicus, 47	leur sang et de le mien, Tu	te verras forcé	de répandre le tien ; Et ton nom paraîtra dans la race
Britannicus, 14	, Madame, expliquer ma douleur, Néron	l'a vu mourir	sans changer de couleur. Ses yeux indifférents ont déjà la constance
Britannicus, 18	ardent qui brûle pour nos dieux. César	les voit partir	sans oser les distraire. Narcisse plus hardi s'empresse pour lui
Esther, 42	il me fasse appeler. MARDOCHEE_Quoi ! Lorsque	vous voyez périr	votre patrie, Pour quelque_chose, Esther, vous comptez votre vie
Esther, 14	ai de goût qu'à les pleurs que	tu me vois répandre	. J'attendais le moment marqué dans ton arrêt, Pour oser
Esther, 52	cependant_que de dissimuler. Contente sur vos pas	vous me verrez voler	. La mer la plus terrible et la plus orageuse Est plus
Esther, 63	guerre intestine avons -nous allumée ? Les a	-on vu marcher	parmi vos ennemis ? Fut -il jamais à le joug esclaves plus
Iphigénie, 82	arrêter, le chemin de Mycènes. Dès_que	tu la verras défends	-lui d'avancer ; Et rends -lui ce billet que je viens
Iphigénie, 41	le chemin de l'Asie ? N'aurai	-je vu briller	cette noble chaleur, Que pour m'en retourner avec plus_de douleur
Iphigénie, 28	aisément se montre magnanime ! Mais que si	vous voyiez ceint	de le bandeau mortel Votre fils Télémaque approcher de l'autel,
Iphigénie, 28	fils Télémaque approcher de l'autel, Nous	vous verrions troublé	de cette affreuse image Changer bientôt en pleurs ce superbe langage,
Iphigénie, 11	sait, il l'attend : et s'	il la voit tarder	, Lui-même à haute voix viendra la demander. Nous sommes seuls
Iphigénie, 11	, où son père l'appelle, Et_l'_Aulide	vous voit arriver	avec elle. Cependant par un sort que je ne conçois pas
Iphigénie, 66	mes tristes yeux cherchèrent la clarté ; Et	me voyant presser	d'un bras ensanglanté, Je frémissais, Doris, et d'
Iphigénie, 13	vous contempler, Dans ce nouvel éclat dont	je vous vois briller	! Quels honneurs ! quel pouvoir ! déjà la renommée Par d'
Iphigénie, 11	ERIPHILE. Qu'entends -je ? CLYTEMNESTRE.	Je vous vois rougir	de cet outrage, Il faut d'un noble orgueil armer votre
Iphigénie, 29	dépeignez, Ses bras que dans le sang	vous avez vus baignés	, Ces morts, cette Lesbos, ces cendres, cette flamme
Iphigénie, 29	? J'entends de_toutes_parts menacer ma patrie.	Je vois marcher	contre elle une armée en furie. Je vois déjà l'hymen
Iphigénie, 12	de la crainte a fait l'apprentissage :	Elle l'a vu pleurer	et changer de visage. Et tu la plains, Doris ?
Iphigénie, 52	vont vous immoler, Reconnaissent mon sang en	le voyant couler	. CLYTEMNESTRE. Vous ne démentez point une race funeste. Oui
Iphigénie, 5	, il suffit que vous me commandiez.	Vous nous verrez combattre	, et mourir à vos pieds. Mais de nos faibles mains
Iphigénie, 13	offrande. Le roi, de son pouvoir	se voit déposséder	. Et lui-même à le torrent nous contraint de céder. Achille
Mithridate, 11	attendaient encore. Toujours de le même amour	tu me vois enflammé	. Ce coeur nourri de sang, et de guerre affamé,
Mithridate, 63	L'aime -elle ? ARBATE. Seigneur,	je vois venir	la reine. MITHRIDATE. Dieux, qui voyez ici mon amour
Mithridate, 11	mon devoir esclave infortunée À d'éternels ennuis	je me voie enchaînée	? Il faut qu'on joigne encor l'outrage à mes douleurs
Mithridate, 101	crime de ma mère, Seigneur. Vous	m'en voyez rougir	à vos genoux. J'ai honte de me voir si_peu digne
Mithridate, 121	périr, Plus ardent qu'aucun autre on	m'y verra courir	. Combattant à vos yeux permettez que je meure. MITHRIDATE.
Mithridate, 30	Il n'est point de moyens... Mais	je la vois paraître	. Feignons. Et de son coeur d'un vain espoir flatté
Mithridate, 43	? Quoi, cher Prince ! avec toi	je me verrais unie	? Et loin que ma tendresse eût exposé ta vie, Tu
Mithridate, 60	il affectait pour vous ! Content, s'	il vous voyait devenir	mon époux. Qui n'aurait crû... Mais non, mon
Mithridate, 30	ravi tout le reste ; Et que de_toutes_parts	me voyant accabler	, J'eusse en vous le seul bien qui me pût consoler
Mithridate, 9	, qu'achevant mon dessein Rome en cendre	me vît expirer	dans son sein. Mais au_moins quelque joie en mourant me console
Phèdre, 18	si chers à votre enfance, Et dont	je vous ai vu préférer	le séjour Au tumulte pompeux d'Athènes, de la Cour ?
Phèdre, 54	belle histoire. Et moi-même à mon tour	je me verrais lié	? Et les dieux jusque-là m'auraient humilié ? Dans mes lâches
Phèdre, 58	colère éclate avec raison. J'aime à	vous voir frémir	à ce funeste nom. Vivez donc. Que l'amour,
Phèdre, 92	, grands Dieux ! À l'horreur de	vous voir expirer	à mes yeux ? PHÈDRE. Quand tu sauras mon crime,
Phèdre, 20	ne m'en plaindrais pas, Seigneur.	Vous m'avez vue attachée	à vous nuire : Dans le fond de mon coeur vous ne
Phèdre, 53	facile à confondre. De son triomphe affreux	je le verrai jouir	, Et conter votre honte à qui voudra l'ouïr. Ah
Phèdre, 19	Éteignait de ses yeux l'innocente lumière.	J'ai vu lever	le bras, j'ai couru la sauver. Moi seule à
Phèdre, 25	de pâlir. De crainte en m'abordant	je l'ai vu tressaillir	. Je me suis étonné de son peu_d'allégresse. Ses froids
Phèdre, 83	main tomber l'urne terrible. Je crois	te voir cherchant	un supplice nouveau, Toi-même de ton sang devenir le bourreau.
Phèdre, 38	certains, irréprochables. J'ai vu,	j'ai vu couler	de les larmes véritables. ARICIE. Prenez garde, Seigneur.
Phèdre, 5	. Mais d'où naissent les pleurs que	je te vois répandre	? Que fait mon fils ? THÉRAMÈNE. Ô soins tardifs,
Thébaïde, 37	cette affreuse guerre il abhorre l'image.	Je l'ai vu soupirer	de douleur et de rage, Lorsque pour remonter à le trône
Thébaïde, 48	tiens assurée, Bientôt ces coeurs de fer	se verront adoucis	, Le vainqueur de Créon peut bien vaincre mes fils. À
Thébaïde, 7	une honnête retraite. Puisqu'il s'offre à	vous voir croyez	qu'il veut la paix. Ce jour la doit conclure,
Thébaïde, 60	: J'ai honte de les horreurs où	je me vois contraint	, Et c'est injustement que le peuple me craint. Mais
Thébaïde, 125	épée, Sans_que d'un sang si cher	nous la voyions trempée	. Vos triomphes pour moi n'auront rien que de doux,
Thébaïde, 151	L'un de les deux tôt ou tard	se verrait renversé	, Et d'un autre soi-même on y serait pressé. Jugez
Thébaïde, 5	déjà fait. De haut de nos remparts	j'ai vu descendre	en larmes Le peuple qui courait et qui criait à les armes
