Oui	INT	oui
où	PRO:REL	où
je	PRO:PER	je
suis	VER:pres	suivre|être
attaché	VER:pper	attacher
,	PUN	,
Vit	VER:pper	Vit
dans	PRP	dans
l'	DET:ART	le
état	NOM	état
obscur	ADJ	obscur
où	PRO:REL	où
les	DET:ART	le
dieux	NOM	dieu
l'	PRO:PER	la|le
ont	VER:pres	avoir
caché	VER:pper	cacher
.	SENT	.
Et	KON	et
depuis	PRP	depuis
quand	ADV	quand
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
tenez	VER:pres	tenir
-vous	PRO:PER	vous
ce	PRO:DEM	ce
langage	NOM	langage
?	SENT	?
Comblé	VER:pper	combler
de	PRP	de
tant	ADV	tant
d'	PRP	de
honneurs	NOM	honneur
,	PUN	,
par	PRP	par
quel	PRO:REL	quel
secret	ADJ	secret
outrage	VER:pres	outrager
Les	DET:ART	le
dieux	NOM	dieu
à	PRP	à
vos	DET:POS	votre
désirs	NOM	désir
toujours	ADV	toujours
si	ADV	si
complaisants	ADJ	complaisant
,	PUN	,
Vous	NAM	Vous
font	VER:pres	faire
-ils	PRO:PER	il
méconnaître	VER:infi	méconnaître
,	PUN	,
et	KON	et
haïr	VER:infi	haïr
leurs	DET:POS	leur
présents	NOM	présent
?	SENT	?
Roi	NOM	roi
,	PUN	,
père	NOM	père
,	PUN	,
époux	NOM	époux
heureux	ADJ	heureux
,	PUN	,
fils	NOM	fil|fils
du	PRP:det	du
puissant	ADJ	puissant
Atrée	NAM	Atrée
,	PUN	,
Vous	NAM	Vous
possédez	VER:pres	posséder
des	PRP:det	du
Grecs	NAM	Grecs
la	DET:ART	le
plus	ADV	plus
riche	ADJ	riche
contrée	NOM	contrée
.	SENT	.
Du	PRP:det	du
sang	NOM	sang
de	PRP	de
Jupiter	NAM	Jupiter
issu	ADJ	issu
de	PRP	de
tous	PRO:IND	tout
côtés	NOM	côté
,	PUN	,
L'	DET:ART	le
hymen	NOM	hymen
vous	PRO:PER	vous
lie	VER:pres	lier
encore	ADV	encore
aux	PRP:det	au
dieux	NOM	dieu
dont	PRO:REL	dont
vous	PRO:PER	vous
sortez	VER:pres	sortir
.	SENT	.
Le	DET:ART	le
jeune	ADJ	jeune
Achille	NAM	Achille
enfin	ADV	enfin
vanté	VER:pper	vanter
par	PRP	par
tant	ADV	tant
d'	PRP	de
oracles	NOM	oracle
,	PUN	,
Achille	NAM	Achille
à	PRP	à
qui	PRO:REL	qui
le	DET:ART	le
ciel	NOM	ciel
promet	VER:pres	promettre
tant	ADV	tant
de	PRP	de
miracles	NOM	miracle
,	PUN	,
Recherche	NAM	Recherche
votre	DET:POS	votre
fille	NOM	fille
,	PUN	,
et	KON	et
d'	PRP	de
un	DET:ART	un
hymen	NOM	hymen
si	ADV	si
beau	ADJ	beau
Veut	NAM	Veut
dans	PRP	dans
Troie	NAM	Troie
embrasée	VER:pper	embraser
allumer	VER:infi	allumer
le	DET:ART	le
flambeau	NOM	flambeau
.	SENT	.
Quelle	PRO:REL	quel
gloire	NOM	gloire
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
quels	PRO:REL	quel
triomphes	NOM	triomphe
égalent	VER:pres	égaler
Le	DET:ART	le
spectacle	NOM	spectacle
pompeux	ADJ	pompeux
que	PRO:REL	que
ces	PRO:DEM	ce
bords	NOM	bord
vous	PRO:PER	vous
étalent	VER:pres	étaler
,	PUN	,
Tous	ADJ	Tous
ces	PRO:DEM	ce
mille	NUM	mille
vaisseaux	NOM	vaisseau
,	PUN	,
qui	PRO:REL	qui
chargés	VER:pper	charger
de	PRP	de
vingt	NUM	vingt
rois	NOM	roi
N'	ADJ	N'
attendent	VER:pres	attendre
que	KON	que
les	DET:ART	le
vents	NOM	vent
pour	PRP	pour
partir	VER:infi	partir
sous	PRP	sous
vos	DET:POS	votre
lois	NOM	loi
?	SENT	?
Ce	PRO:DEM	ce
long	NOM	long
calme	ADJ	calme
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
vrai	ADJ	vrai
,	PUN	,
retarde	VER:pres	retarder
vos	DET:POS	votre
conquêtes	NOM	conquête
.	SENT	.
Ces	PRO:DEM	ce
vents	NOM	vent
depuis	PRP	depuis
trois	NUM	trois
mois	NOM	moi|mois
enchaînés	VER:pper	enchaîner
sur	PRP	sur
nos	DET:POS	notre
têtes	NOM	tête
D'	NAM	D'
Ilion	NAM	Ilion
trop	ADV	trop
longtemps	ADV	longtemps
vous	PRO:PER	vous
ferment	VER:pres	fermer
le	DET:ART	le
chemin	NOM	chemin
.	SENT	.
Mais	KON	mais
parmi	PRP	parmi
tant	ADV	tant
d'	PRP	de
honneurs	NOM	honneur
vous	PRO:PER	vous
êtes	VER:pres	être
homme	NOM	homme
enfin	ADV	enfin
.	SENT	.
Tandis	KON	tandis
que	KON	que
vous	PRO:PER	vous
vivrez	VER:futu	vivre
,	PUN	,
le	DET:ART	le
sort	NOM	sort
qui	PRO:REL	qui
toujours	ADV	toujours
change	VER:pres	changer
,	PUN	,
Ne	NAM	Ne
vous	PRO:PER	vous
a	VER:pres	avoir
point	ADV	point
promis	VER:pper	promettre
un	DET:ART	un
bonheur	NOM	bonheur
sans	PRP	sans
mélange	NOM	mélange
.	SENT	.
Bientôt	ADV	bientôt
...	PUN	...
Mais	VER:impf	Mais
quels	PRO:REL	quel
malheurs	NOM	malheur
dans	PRP	dans
ce	PRO:DEM	ce
billet	NOM	billet
tracés	VER:pper	tracer
Vous	NAM	Vous
arrachent	VER:pres	arracher
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
les	DET:ART	le
pleurs	NOM	pleur|pleurs
que	PRO:REL	que
vous	PRO:PER	vous
versez	VER:pres	verser
?	SENT	?
Votre	DET:POS	votre
Oreste	NOM	Oreste
au	PRP:det	au
berceau	NOM	berceau
va-t-il	NOM	va-t-il
finir	VER:infi	finir
sa	DET:POS	son
vie	NOM	vie
?	SENT	?
Pleurez	VER:pres	pleurer
-vous	PRO:PER	vous
Clystemnestre	ADJ	Clystemnestre
,	PUN	,
ou	KON	ou
bien	ADV	bien
Iphigénie	NAM	Iphigénie
?	SENT	?
Qu'	PRO:REL	que
est	VER:pres	être
ce	PRO:DEM	ce
qu'	PRO:REL	que
on	PRO:PER	on
vous	PRO:PER	vous
écrit	VER:pres	écrire
?	SENT	?
Daignez	VER:pres	daigner
m'	PRO:PER	me
en	PRP	en
avertir	VER:infi	avertir
.	SENT	.
Non	ADV	non
,	PUN	,
tu	PRO:PER	tu
ne	ADV	ne
mourras	VER:futu	mourir
point	ADV	point
,	PUN	,
je	PRO:PER	je
n'	ADV	ne
y	PRO:PER	y
puis	ADV	puis
consentir	VER:infi	consentir
.	SENT	.
Seigneur	NAM	Seigneur
...	PUN	...
Tu	NAM	Tu
vois	VER:pres	voir
mon	DET:POS	mon
trouble	NOM	trouble
.	SENT	.
Apprends	VER:pres	apprendre
ce	PRO:DEM	ce
qui	PRO:REL	qui
le	DET:ART	le
cause	NOM	cause
,	PUN	,
Et	NAM	Et
juge	VER:pres	juger
s'	PRO:PER	se
il	PRO:PER	il
est	VER:pres	être
temps	NOM	temps
,	PUN	,
ami	ADJ	ami
,	PUN	,
que	KON	que
je	PRO:PER	je
repose	VER:pres	reposer
.	SENT	.
Tu	PRO:PER	tu
te	PRO:PER	te
souviens	VER:pres	souvenir
du	PRP:det	du
jour	NOM	jour
qu'	KON	que
en	PRP	en
Aulide	NOM	Aulide
assemblés	VER:pper	assembler
Nos	ADJ	Nos
vaisseaux	NOM	vaisseau
par	PRP	par
les	DET:ART	le
vents	NOM	vent
semblaient	VER:impf	sembler
être	VER:infi	être
appelés	VER:pper	appeler
.	SENT	.
Nous	PRO:PER	nous
partions	VER:impf	partir
.	SENT	.
Et	KON	et
déjà	ADV	déjà
par	PRP	par
mille	NUM	mille
cris	NOM	cri
de	PRP	de
joie	NOM	joie
Nous	PRO:PER	nous
menacions	VER:impf	menacer
de	PRP	de
loin	ADV	loin
les	DET:ART	le
rivages	NOM	rivage
de	PRP	de
Troie	NAM	Troie
.	SENT	.
Un	DET:ART	un
prodige	NOM	prodige
étonnant	ADJ	étonnant
fit	VER:simp	faire
taire	VER:infi	taire
ce	PRO:DEM	ce
transport	NOM	transport
.	SENT	.
Le	DET:ART	le
vent	NOM	vent
qui	PRO:REL	qui
nous	PRO:PER	nous
flattait	VER:impf	flatter
nous	PRO:PER	nous
laissa	VER:simp	laisser
dans	PRP	dans
le	DET:ART	le
port	NOM	port
.	SENT	.
Il	PRO:PER	il
fallut	VER:simp	falloir
s'	PRO:PER	se
arrêter	VER:infi	arrêter
,	PUN	,
et	KON	et
la	DET:ART	le
rame	NOM	rame
inutile	ADJ	inutile
Fatigua	VER:simp	fatiguer
vainement	ADV	vainement
une	DET:ART	un
mer	NOM	mer
immobile	ADJ	immobile
.	SENT	.
Ce	PRO:DEM	ce
miracle	NOM	miracle
inouï	NOM	inouï
me	PRO:PER	me
fit	VER:simp	faire
tourner	VER:infi	tourner
les	DET:ART	le
yeux	NOM	œil
Vers	VER:futu	Vers
la	DET:ART	le
divinité	NOM	divinité
qu'	PRO:REL	que
on	PRO:PER	on
adore	VER:pres	adorer
en	PRP	en
ces	PRO:DEM	ce
lieux	NOM	lieu
.	SENT	.
Suivi	VER:pper	suivre
de	PRP	de
Ménélas	NAM	Ménélas
,	PUN	,
de	PRP	de
Nestor	NAM	Nestor
,	PUN	,
et	KON	et
d'	PRP	de
Ulysse	NAM	Ulysse
,	PUN	,
J'	NAM	J'
offris	VER:simp	offrir
sur	PRP	sur
ses	DET:POS	son
autels	NOM	autel
un	DET:ART	un
secret	ADJ	secret
sacrifice	NOM	sacrifice
.	SENT	.
Quelle	PRO:REL	quel
fut	VER:simp	être
sa	DET:POS	son
réponse	NOM	réponse
!	SENT	!
et	KON	et
quel	PRO:REL	quel
devins	VER:simp	devenir
-je	PRO:PER	je
,	PUN	,
Arcas	NAM	Arcas
,	PUN	,
Quand	NAM	Quand
j'	PRO:PER	je
entendis	VER:simp	entendre
ces	PRO:DEM	ce
mots	NOM	mot
prononcés	VER:pper	prononcer
par	PRP	par
Calchas	NAM	Calchas
!	SENT	!
""""	PUN:cit	""""
Vous	PRO:PER	vous
armez	VER:pres	armer
contre	PRP	contre
Troie	NAM	Troie
une	DET:ART	un
puissance	NOM	puissance
vaine	ADJ	vain
,	PUN	,
Si	VER:pper	Si
dans	PRP	dans
un	DET:ART	un
sacrifice	NOM	sacrifice
auguste	ADJ	auguste
et	KON	et
solennel	ADJ	solennel
Une	VER:futu	Une
fille	NOM	fille
du	PRP:det	du
sang	NOM	sang
d'	PRP	de
Hélène	NAM	Hélène
De	NAM	De
Diane	NAM	Diane
en	PRP	en
ces	PRO:DEM	ce
lieux	NOM	lieu
n'	ADV	ne
ensanglante	VER:pres	ensanglanter
l'	DET:ART	le
autel	NOM	autel
.	SENT	.
Pour	PRP	pour
obtenir	VER:infi	obtenir
les	DET:ART	le
vents	NOM	vent
que	KON	que
le	DET:ART	le
ciel	NOM	ciel
vous	PRO:PER	vous
dénie	VER:pres	dénier
,	PUN	,
Sacrifiez	NAM	Sacrifiez
Iphigénie	NAM	Iphigénie
.	SENT	.
""""	PUN:cit	""""
Votre	DET:POS	votre
fille	NOM	fille
!	SENT	!
Surpris	VER:pper	surprendre
,	PUN	,
comme	KON	comme
tu	PRO:PER	tu
peux	VER:pres	pouvoir
penser	VER:infi	penser
,	PUN	,
Je	PRO:PER	je
sentis	VER:pper	sentir
dans	PRP	dans
mon	DET:POS	mon
corps	NOM	corps
tout	ADV	tout
mon	DET:POS	mon
sang	NOM	sang
se	PRO:PER	se
glacer	VER:infi	glacer
,	PUN	,
Je	PRO:PER	je
demeurai	VER:simp	demeurer
sans	PRP	sans
voix	NOM	voix
,	PUN	,
et	KON	et
n'	ADV	ne
en	PRO:PER	en
repris	VER:pper	reprendre
l'	DET:ART	le
usage	NOM	usage
,	PUN	,
Que	NAM	Que
par	PRP	par
mille	NUM	mille
sanglots	NOM	sanglot
qui	PRO:REL	qui
se	PRO:PER	se
firent	VER:simp	faire
passage	NOM	passage
.	SENT	.
Je	PRO:PER	je
condamnai	VER:simp	condamner
les	DET:ART	le
dieux	NOM	dieu
,	PUN	,
et	KON	et
sans	PRP	sans
plus	ADV	plus
rien	ADV	rien
ouïr	VER:infi	ouïr
,	PUN	,
Fis	VER:infi	Fis
voeu	NOM	vœu
sur	PRP	sur
leurs	DET:POS	leur
autels	NOM	autel
de	PRP	de
leur	PRO:PER	lui
désobéir	VER:infi	désobéir
.	SENT	.
Que	KON	que
n'	ADV	ne
en	PRO:PER	en
croyais	VER:impf	croire
-je	PRO:PER	je
alors	ADV	alors
ma	DET:POS	mon
tendresse	NOM	tendresse
alarmée	VER:pper	alarmer
?	SENT	?
Je	PRO:PER	je
voulais	VER:impf	vouloir
sur-le-champ	ADV	sur-le-champ
congédier	VER:infi	congédier
l'	DET:ART	le
armée	NOM	armée
.	SENT	.
Ulysse	NAM	Ulysse
en	PRP	en
apparence	NOM	apparence
approuvant	VER:ppre	approuver
mes	DET:POS	mon
discours	NOM	discours
,	PUN	,
De	VER:simp	De
ce	PRO:DEM	ce
premier	NUM	premier
torrent	NOM	torrent
laissa	VER:simp	laisser
passer	VER:infi	passer
le	DET:ART	le
cours	NOM	cour|cours
.	SENT	.
Mais	KON	mais
bientôt	ADV	bientôt
rappelant	VER:ppre	rappeler
sa	DET:POS	son
cruelle	ADJ	cruel
industrie	NOM	industrie
,	PUN	,
Il	NAM	Il
me	PRO:PER	me
représenta	VER:simp	représenter
l'	DET:ART	le
honneur	NOM	honneur
et	KON	et
la	DET:ART	le
patrie	NOM	patrie
,	PUN	,
Tout	ADJ	Tout
ce	PRO:DEM	ce
peuple	NOM	peuple
,	PUN	,
ces	PRO:DEM	ce
rois	NOM	roi
à	PRP	à
mes	DET:POS	mon
ordres	NOM	ordre
soumis	VER:pper	soumettre
,	PUN	,
Et	VER:ppre	Et
l'	DET:ART	le
empire	NOM	empire
d'	PRP	de
Asie	NAM	Asie
à	PRP	à
la	DET:ART	le
Grèce	NAM	Grèce
promis	VER:pper	promettre
.	SENT	.
De	PRP	de
quel	PRO:REL	quel
front	NOM	front
immolant	VER:ppre	immoler
tout	PRO:IND	tout
l'	DET:ART	le
État	NAM	État
à	PRP	à
ma	DET:POS	mon
fille	NOM	fille
,	PUN	,
Roi	NOM	roi
sans	PRP	sans
gloire	NOM	gloire
,	PUN	,
j'	PRO:PER	je
irais	VER:cond	aller
vieillir	VER:infi	vieillir
dans	PRP	dans
ma	DET:POS	mon
famille	NOM	famille
!	SENT	!
Moi	PRO:PER	moi
-même	ADJ	même
(	PUN	(
je	PRO:PER	je
l'	PRO:PER	la|le
avoue	VER:pres	avouer
avec	PRP	avec
quelque	PRO:IND	quelque
pudeur	NOM	pudeur
)	PUN	)
Charmé	NAM	Charmé
de	PRP	de
mon	DET:POS	mon
pouvoir	NOM	pouvoir
,	PUN	,
et	KON	et
plein	ADJ	plein
de	PRP	de
ma	DET:POS	mon
grandeur	NOM	grandeur
,	PUN	,
Ces	VER:simp	Ces
noms	NOM	nom
de	PRP	de
roi	NOM	roi
des	PRP:det	du
rois	NOM	roi
,	PUN	,
et	KON	et
de	PRP	de
chef	NOM	chef
de	PRP	de
la	DET:ART	le
Grèce	NAM	Grèce
Chatouillaient	VER:impf	chatouiller
de	PRP	de
mon	DET:POS	mon
coeur	NOM	cœur
l'	DET:ART	le
orgueilleuse	ADJ	orgueilleux
faiblesse	NOM	faiblesse
.	SENT	.
Pour	PRP	pour
comble	NOM	comble
de	PRP	de
malheur	NOM	malheur
,	PUN	,
les	DET:ART	le
dieux	NOM	dieu
toutes	PRO:IND	tout
les	DET:ART	le
nuits	NOM	nuit
,	PUN	,
Dès	NAM	Dès
qu'	KON	que
un	DET:ART	un
léger	ADJ	léger
sommeil	NOM	sommeil
suspendait	VER:impf	suspendre
mes	DET:POS	mon
ennuis	NOM	ennui
,	PUN	,
Vengeant	VER:ppre	venger
de	PRP	de
leurs	DET:POS	leur
autels	NOM	autel
le	DET:ART	le
sanglant	ADJ	sanglant
privilège	NOM	privilège
,	PUN	,
Me	ABR	Me
venaient	VER:impf	venir
reprocher	VER:infi	reprocher
ma	DET:POS	mon
pitié	NOM	pitié
sacrilège	ADJ	sacrilège
,	PUN	,
Et	NOM	Et
présentant	VER:ppre	présenter
la	DET:ART	le
foudre	NOM	foudre
à	PRP	à
mon	DET:POS	mon
esprit	NOM	esprit
confus	ADJ	confus
,	PUN	,
Le	DET:ART	le
bras	NOM	bras
déjà	ADV	déjà
levé	VER:pper	lever
,	PUN	,
menaçaient	VER:impf	menacer
mes	DET:POS	mon
refus	NOM	refus
.	SENT	.
Je	PRO:PER	je
me	PRO:PER	me
rendis	VER:simp	rendre
,	PUN	,
Arcas	NAM	Arcas
,	PUN	,
et	KON	et
vaincu	VER:pper	vaincre
par	PRP	par
Ulysse	NAM	Ulysse
,	PUN	,
De	VER:ppre	De
ma	DET:POS	mon
fille	NOM	fille
en	PRP	en
pleurant	VER:ppre	pleurer
j'	PRO:PER	je
ordonnai	VER:simp	ordonner
le	DET:ART	le
supplice	NOM	supplice
.	SENT	.
Mais	KON	mais
des	PRP:det	du
bras	NOM	bras
d'	PRP	de
une	DET:ART	un
mère	NOM	mère
il	PRO:PER	il
fallait	VER:impf	falloir
l'	PRO:PER	la|le
arracher	VER:infi	arracher
.	SENT	.
Quel	PRO:REL	quel
funeste	VER:pres	funester
artifice	NOM	artifice
il	PRO:PER	il
me	PRO:PER	me
fallut	VER:simp	falloir
chercher	VER:infi	chercher
!	SENT	!
D'	PRP	de
Achille	NAM	Achille
,	PUN	,
qui	PRO:REL	qui
l'	PRO:PER	la|le
aimait	VER:impf	aimer
,	PUN	,
j'	PRO:PER	je
empruntai	VER:simp	emprunter
le	DET:ART	le
langage	NOM	langage
,	PUN	,
J'	NAM	J'
écrivis	VER:simp	écrire
en	PRP	en
Argos	NAM	Argos
,	PUN	,
pour	PRP	pour
hâter	VER:infi	hâter
ce	PRO:DEM	ce
voyage	NOM	voyage
,	PUN	,
Que	VER:impf	Que
ce	PRO:DEM	ce
guerrier	NOM	guerrier
,	PUN	,
pressé	VER:pper	presser
de	PRP	de
partir	VER:infi	partir
avec	PRP	avec
nous	PRO:PER	nous
,	PUN	,
Voulait	VER:impf	vouloir
revoir	VER:infi	revoir
ma	DET:POS	mon
fille	NOM	fille
,	PUN	,
et	KON	et
partir	VER:infi	partir
son	DET:POS	son
époux	NOM	époux
.	SENT	.
Et	KON	et
ne	ADV	ne
craignez	VER:pres	craindre
-vous	PRO:PER	vous
point	ADV	point
l'	DET:ART	le
impatient	ADJ	impatient
Achille	NAM	Achille
?	SENT	?
Avez	VER:pres	avoir
-vous	PRO:PER	vous
prétendu	ADJ	prétendu
que	KON	que
muet	ADJ	muet
,	PUN	,
et	KON	et
tranquille	ADJ	tranquille
Ce	VER:futu	Ce
héros	NOM	héro|héros
,	PUN	,
qu'	PRO:REL	que
armera	VER:futu	armer
l'	DET:ART	le
amour	NOM	amour
et	KON	et
la	DET:ART	le
raison	NOM	raison
,	PUN	,
Vous	NAM	Vous
laisse	VER:pres	laisser
pour	PRP	pour
ce	PRO:DEM	ce
meurtre	NOM	meurtre
abuser	VER:infi	abuser
de	PRP	de
son	DET:POS	son
nom	NOM	nom
?	SENT	?
Verra-t-il	NOM	Verra-t-il
à	PRP	à
ses	DET:POS	son
yeux	NOM	œil
son	DET:POS	son
amante	NOM	amant
immolée	VER:pper	immoler
?	SENT	?
Achille	NAM	Achille
était	VER:impf	être
absent	ADJ	absent
.	SENT	.
Et	KON	et
son	DET:POS	son
père	NOM	père
Pélée	NAM	Pélée
,	PUN	,
D'	NAM	D'
un	DET:ART	un
voisin	NOM	voisin
ennemi	ADJ	ennemi
redoutant	VER:ppre	redouter
les	DET:ART	le
efforts	NOM	effort
,	PUN	,
L'	DET:ART	le
avait	VER:impf	avoir
,	PUN	,
tu	PRO:PER	tu
t'	PRO:PER	te
en	PRO:PER	en
souviens	VER:pres	souvenir
,	PUN	,
rappelé	VER:pper	rappeler
de	PRP	de
ces	PRO:DEM	ce
bords	NOM	bord
.	SENT	.
Et	KON	et
cette	PRO:DEM	ce
guerre	NOM	guerre
,	PUN	,
Arcas	NAM	Arcas
,	PUN	,
selon	PRP	selon
toute	PRO:IND	tout
apparence	NOM	apparence
,	PUN	,
Aurait	VER:impf	Aurait
dû	VER:pper	devoir
plus	ADV	plus
longtemps	ADV	longtemps
prolonger	VER:infi	prolonger
son	DET:POS	son
absence	NOM	absence
.	SENT	.
Mais	KON	mais
qui	PRO:REL	qui
peut	VER:pres	pouvoir
dans	PRP	dans
sa	DET:POS	son
course	NOM	course
arrêter	VER:infi	arrêter
ce	PRO:DEM	ce
torrent	NOM	torrent
?	SENT	?
Achille	NAM	Achille
va	VER:pres	aller
combattre	VER:infi	combattre
,	PUN	,
et	KON	et
triomphe	NOM	triomphe
en	PRP	en
courant	NOM	courant
.	SENT	.
Et	KON	et
ce	PRO:DEM	ce
vainqueur	NOM	vainqueur
suivant	VER:ppre	suivre
de	PRP	de
près	ADV	près
sa	DET:POS	son
renommée	NOM	renommée
,	PUN	,
Hier	VER:pper	Hier
avec	PRP	avec
la	DET:ART	le
nuit	NOM	nuit
arriva	VER:simp	arriver
dans	PRP	dans
l'	DET:ART	le
armée	NOM	armée
.	SENT	.
Mais	KON	mais
des	PRP:det	du
noeuds	NOM	nœud
plus	ADV	plus
puissants	ADJ	puissant
me	PRO:PER	me
retiennent	VER:pres	retenir
le	DET:ART	le
bras	NOM	bras
.	SENT	.
Ma	DET:POS	mon
fille	NOM	fille
qui	PRO:REL	qui
s'	PRO:PER	se
approche	VER:pres	approcher
,	PUN	,
et	KON	et
court	ADV	court
à	PRP	à
son	DET:POS	son
trépas	NOM	trépas
,	PUN	,
Qui	NAM	Qui
loin	ADV	loin
de	PRP	de
soupçonner	VER:infi	soupçonner
un	DET:ART	un
arrêt	NOM	arrêt
si	ADV	si
sévère	ADJ	sévère
,	PUN	,
Peut-être	NAM	Peut-être
s'	PRO:PER	se
applaudit	VER:pres	applaudir
des	PRP:det	du
bontés	NOM	bonté
de	PRP	de
son	DET:POS	son
père	NOM	père
,	PUN	,
Ma	VER:simp	Ma
fille	NOM	fille
...	PUN	...
Ce	VER:simp	Ce
nom	NOM	nom
seul	ADJ	seul
dont	PRO:REL	dont
les	DET:ART	le
droits	NOM	droit
sont	VER:pres	être
si	ADV	si
saints	ADJ	saint
,	PUN	,
Sa	VER:simp	Sa
jeunesse	NOM	jeunesse
,	PUN	,
mon	DET:POS	mon
sang	NOM	sang
,	PUN	,
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
ce	PRO:DEM	ce
que	PRO:REL	que
je	PRO:PER	je
plains	VER:pres	plaindre
.	SENT	.
Je	PRO:PER	je
plains	VER:pres	plaindre
mille	NUM	mille
vertus	NOM	vertu
,	PUN	,
une	DET:ART	un
amour	NOM	amour
mutuelle	ADJ	mutuel
,	PUN	,
Sa	VER:simp	Sa
piété	VER:pper	piéter
pour	PRP	pour
moi	PRO:PER	moi
,	PUN	,
ma	DET:POS	mon
tendresse	NOM	tendresse
pour	PRP	pour
elle	PRO:PER	elle
,	PUN	,
Un	ABR	Un
respect	NOM	respect
,	PUN	,
qu'	KON	que
en	PRP	en
son	DET:POS	son
coeur	NOM	cœur
rien	ADV	rien
ne	ADV	ne
peut	VER:pres	pouvoir
balancer	VER:infi	balancer
,	PUN	,
Et	NOM	Et
que	PRO:REL	que
j'	PRO:PER	je
avais	VER:impf	avoir
promis	VER:pper	promettre
de	PRP	de
mieux	ADV	mieux
récompenser	VER:infi	récompenser
.	SENT	.
Non	ADV	non
,	PUN	,
je	PRO:PER	je
ne	ADV	ne
croirai	VER:futu	croire
point	ADV	point
,	PUN	,
ô	INT	ô
ciel	NOM	ciel
!	SENT	!
que	KON	que
ta	DET:POS	ton
justice	NOM	justice
Approuve	VER:pres	approuver
la	DET:ART	le
fureur	NOM	fureur
de	PRP	de
ce	PRO:DEM	ce
noir	ADJ	noir
sacrifice	NOM	sacrifice
.	SENT	.
Tes	DET:POS	ton
oracles	NOM	oracle
sans	PRP	sans
doute	NOM	doute
ont	VER:pres	avoir
voulu	VER:pper	vouloir
m'	PRO:PER	me
éprouver	VER:infi	éprouver
,	PUN	,
Et	VER:infi	Et
tu	PRO:PER	tu
me	PRO:PER	me
punirais	VER:cond	punir
si	KON	si
j'	PRO:PER	je
osais	VER:impf	oser
l'	PRO:PER	la|le
achever	VER:infi	achever
.	SENT	.
Arcas	NAM	Arcas
,	PUN	,
je	PRO:PER	je
t'	PRO:PER	te
ai	VER:pres	avoir
choisi	VER:pper	choisir
pour	PRP	pour
cette	PRO:DEM	ce
confidence	NOM	confidence
.	SENT	.
Il	PRO:PER	il
faut	VER:pres	falloir
montrer	VER:infi	montrer
ici	ADV	ici
ton	DET:POS	ton
zèle	NOM	zèle
et	KON	et
ta	DET:POS	ton
prudence	NOM	prudence
.	SENT	.
La	DET:ART	le
reine	NOM	reine
qui	PRO:REL	qui
dans	PRP	dans
Sparte	NAM	Sparte
avait	VER:impf	avoir
connu	VER:pper	connaître
