Quoi	PRO	quoi
toujours	ADV	toujours
renfermé	VER:pper	renfermer
dans	PRP	dans
ces	PRO:DEM	ce
murs	NOM	mur
malheureux	ADJ	malheureux
,	PUN	,
Occupé	VER:pper	occuper
jusqu'	PRP	jusque
ici	ADV	ici
par	PRP	par
des	PRP:det	du
frivoles	ADJ	frivole
jeux	NOM	jeu
,	PUN	,
Je	PRO:PER	je
ne	ADV	ne
sais	VER:pres	savoir
ni	KON	ni
l'	DET:ART	le
emploi	NOM	emploi
ni	KON	ni
l'	DET:ART	le
ordre	NOM	ordre
d'	PRP	de
une	DET:ART	un
armée	NOM	armée
,	PUN	,
Que	VER:pper	Que
par	PRP	par
des	PRP:det	du
traits	NOM	trait
confus	ADJ	confus
,	PUN	,
ou	KON	ou
par	PRP	par
la	DET:ART	le
renommée	NOM	renommée
,	PUN	,
Ah	NAM	Ah
!	SENT	!
Ce	PRO:DEM	ce
seul	ADJ	seul
souvenir	NOM	souvenir
plus	ADV	plus
que	KON	que
tous	PRO:IND	tout
mes	DET:POS	mon
malheurs	NOM	malheur
M'	NAM	M'
irrite	VER:pres	irriter
,	PUN	,
me	PRO:PER	me
dévore	VER:pres	dévorer
,	PUN	,
et	KON	et
m'	PRO:PER	me
arrache	VER:pres	arracher
des	PRP:det	du
pleurs	NOM	pleur|pleurs
;	PUN	;
Allons	NAM	Allons
,	PUN	,
obéissons	VER:pres	obéir
au	PRP:det	au
transport	NOM	transport
qui	PRO:REL	qui
me	PRO:PER	me
guide	VER:pres	guider
,	PUN	,
Et	NAM	Et
prenons	VER:pres	prendre
vers	PRP	vers
la	DET:ART	le
gloire	NOM	gloire
un	DET:ART	un
essor	NOM	essor
si	ADV	si
rapide	ADJ	rapide
,	PUN	,
Que	VER:pper	Que
dans	PRP	dans
leur	DET:POS	leur
nombre	NOM	nombre
un	DET:ART	un
jour	NOM	jour
mes	DET:POS	mon
exploits	NOM	exploit
confondus	VER:pper	confondre
Suffisent	VER:pres	suffire
à	PRP	à
remplir	VER:infi	remplir
les	DET:ART	le
jours	NOM	jour
que	PRO:REL	que
j'	PRO:PER	je
ai	VER:pres	avoir
perdus	VER:pper	perdre
.	SENT	.
Cependant	ADV	cependant
,	PUN	,
cherche	VER:pres	chercher
Eudoxe	NAM	Eudoxe
,	PUN	,
elle	PRO:PER	elle
connaît	VER:pres	connaître
ma	DET:POS	mon
peine	NOM	peine
,	PUN	,
Et	NAM	Et
m'	PRO:PER	me
a	VER:pres	avoir
cent	NUM	cent
fois	NOM	foi|fois
pressé	VER:pper	presser
de	PRP	de
fuir	VER:infi	fuir
les	DET:ART	le
yeux	NOM	œil
d'	PRP	de
Irène	NAM	Irène
,	PUN	,
Du	NAM	Du
dessein	NOM	dessein
que	PRO:REL	que
j'	PRO:PER	je
ai	VER:pres	avoir
pris	VER:pper	prendre
,	PUN	,
il	PRO:PER	il
l'	PRO:PER	la|le
a	VER:pres	avoir
faut	VER:pres	falloir
avertir	VER:infi	avertir
,	PUN	,
Va	VER:simp	Va
la	PRO:PER	la
trouver	VER:infi	trouver
,	PUN	,
dis	VER:pres	dire
-lui	PRO:PER	lui
qu'	PRO:REL	que
avant	PRP	avant
que	KON	que
de	PRP	de
partir	VER:infi	partir
Je	PRO:PER	je
demande	VER:pres	demander
surtout	ADV	surtout
à	PRP	à
voir	VER:infi	voir
l'	DET:ART	le
Impératrice	NOM	impératrice
,	PUN	,
Et	NOM	Et
qu'	PRO:REL	que
elle	PRO:PER	elle
doit	VER:pres	devoir
encore	ADV	encore
me	PRO:PER	me
rendre	VER:infi	rendre
cet	PRO:DEM	ce
office	NOM	office
,	PUN	,
Que	NAM	Que
j'	PRO:PER	je
ose	VER:pres	oser
m'	PRO:PER	me
en	PRP	en
flatter	VER:infi	flatter
;	PUN	;
adieux	NOM	adieu
,	PUN	,
cours	NOM	cour|cours
,	PUN	,
hâte	VER:pres	hâter
-toi	PRO:PER	toi
,	PUN	,
J'	ADJ	J'
attendrai	VER:futu	attendre
ton	DET:POS	ton
retour	NOM	retour
pour	PRP	pour
disposer	VER:infi	disposer
de	PRP	de
moi	PRO:PER	moi
.	SENT	.
Je	PRO:PER	je
ne	ADV	ne
le	PRO:PER	le
verrai	VER:futu	voir
point	ADV	point
,	PUN	,
non	ADV	non
j'	PRO:PER	je
y	PRO:PER	y
suis	VER:pres	suivre|être
résolue	VER:pper	résoudre
,	PUN	,
M'	NAM	M'
osez	VER:pres	oser
-vous	PRO:PER	vous
conseiller	VER:infi	conseiller
cette	PRO:DEM	ce
fatale	ADJ	fatal
vue	NOM	vue
:	PUN	:
Eudoxe	NAM	Eudoxe
,	PUN	,
ignorez	VER:pres	ignorer
-vous	PRO:PER	vous
son	DET:POS	son
destin	NOM	destin
et	KON	et
le	PRO:PER	le
mien	PRO:POS	mien
?	SENT	?
Pourquoi	ADV	pourquoi
lui	PRO:PER	lui
refuser	VER:infi	refuser
un	DET:ART	un
moment	NOM	moment
d'	PRP	de
entretien	NOM	entretien
?	SENT	?
Voulez	VER:pres	vouloir
-vous	PRO:PER	vous
qu'	ADV	qu'
irrité	VER:pper	irriter
de	PRP	de
votre	DET:POS	votre
résistance	NOM	résistance
,	PUN	,
Il	NOM	Il
ne	ADV	ne
se	PRO:PER	se
presse	VER:pres	presser
plus	ADV	plus
de	PRP	de
sortir	VER:infi	sortir
de	PRP	de
Byzance	NAM	Byzance
?	SENT	?
Croyez	VER:pres	croire
-moi	PRO:PER	moi
,	PUN	,
gardez	VER:pres	garder
-vous	PRO:PER	vous
d'	PRP	de
aigrir	VER:infi	aigrir
son	DET:POS	son
désespoir	NOM	désespoir
;	PUN	;
Et	NOM	Et
puisque	KON	puisque
pour	PRP	pour
jamais	ADV	jamais
il	PRO:PER	il
renonce	VER:pres	renoncer
à	PRP	à
vous	PRO:PER	vous
voir	VER:infi	voir
,	PUN	,
Madame	NAM	Madame
,	PUN	,
accordez	VER:pres	accorder
-lui	PRO:PER	lui
la	DET:ART	le
faveur	NOM	faveur
qu'	PRO:REL	que
il	PRO:PER	il
demande	VER:pres	demander
.	SENT	.
Quels	PRO:REL	quel
soupirs	NOM	soupir
,	PUN	,
quels	PRO:REL	quel
regrets	NOM	regret
voulez	VER:pres	vouloir
-vous	PRO:PER	vous
que	PRO:REL	que
j'	PRO:PER	je
entende	VER:subp	entendre
?	SENT	?
Vous	PRO:PER	vous
qui	PRO:REL	qui
me	PRO:PER	me
dérobant	VER:ppre	dérober
à	PRP	à
nos	DET:POS	notre
heureux	ADJ	heureux
climats	NOM	climat
Dans	VER:ppre	Dans
ces	PRO:DEM	ce
funestes	ADJ	funeste
lieux	NOM	lieu
conduisîtes	VER:simp	conduire
mes	DET:POS	mon
pas	NOM	pas
;	PUN	;
Vous	NOM	Vous
de	PRP	de
qui	PRO:REL	qui
les	DET:ART	le
conseils	NOM	conseil
,	PUN	,
le	DET:ART	le
zèle	NOM	zèle
et	KON	et
la	DET:ART	le
prudence	NOM	prudence
Devraient	VER:impf	Devraient
à	PRP	à
tous	PRO:IND	tout
moments	NOM	moment
rassurer	VER:infi	rassurer
ma	DET:POS	mon
constance	NOM	constance
,	PUN	,
Qui	NAM	Qui
peut-être	ADV	peut-être
succombe	VER:pres	succomber
à	PRP	à
mes	DET:POS	mon
mortels	ADJ	mortel
ennuis	NOM	ennui
,	PUN	,
Voulez	VER:pres	vouloir
-vous	PRO:PER	vous
m'	PRO:PER	me
exposer	VER:infi	exposer
au	PRP:det	au
péril	NOM	péril
que	PRO:REL	que
je	PRO:PER	je
fuis	VER:pres	fuir
?	SENT	?
Madame	NOM	Madame
,	PUN	,
le	DET:ART	le
péril	NOM	péril
est-il	ADJ	est-il
moins	ADV	moins
redoutable	ADJ	redoutable
À	PRP	à
ne	ADV	ne
pas	ADV	pas
écouter	VER:infi	écouter
ce	PRO:DEM	ce
prince	NOM	prince
déplorable	ADJ	déplorable
?	SENT	?
Résolu	VER:pper	résoudre
de	PRP	de
vous	PRO:PER	vous
faire	VER:infi	faire
entendre	VER:infi	entendre
ses	DET:POS	son
adieux	NOM	adieu
,	PUN	,
Il	VER:subi	Il
vous	PRO:PER	vous
suivra	VER:futu	suivre
peut-être	ADV	peut-être
à	PRP	à
toute	PRO:IND	tout
heure	NOM	heure
,	PUN	,
en	PRP	en
tous	PRO:IND	tout
lieux	NOM	lieu
,	PUN	,
Et	NOM	Et
voudra	VER:futu	vouloir
pour	PRP	pour
le	DET:ART	le
moins	ADV	moins
devoir	NOM	devoir
à	PRP	à
la	DET:ART	le
fortune	NOM	fortune
,	PUN	,
Le	DET:ART	le
plaisir	NOM	plaisir
de	PRP	de
vous	PRO:PER	vous
faire	VER:infi	faire
une	DET:ART	un
plainte	NOM	plainte
importune	ADJ	importun
.	SENT	.
Que	KON	que
dis	VER:pres	dire
-je	PRO:PER	je
?	SENT	?
Croyez	VER:pres	croire
-vous	PRO:PER	vous
que	PRO:REL	que
plein	ADJ	plein
de	PRP	de
son	DET:POS	son
amour	NOM	amour
Il	NAM	Il
puisse	VER:subp	pouvoir
se	PRO:PER	se
résoudre	VER:infi	résoudre
à	PRP	à
partir	VER:infi	partir
de	PRP	de
la	DET:ART	le
Cour	NAM	Cour
.	SENT	.
On	PRO:PER	on
se	PRO:PER	se
propose	VER:pres	proposer
en	PRP	en
vain	ADJ	vain
de	PRP	de
quitter	VER:infi	quitter
ce	PRO:DEM	ce
qu'	PRO:REL	que
on	PRO:PER	on
aime	VER:pres	aimer
,	PUN	,
Enfin	NOM	Enfin
dans	PRP	dans
ce	PRO:DEM	ce
dessein	NOM	dessein
confirmez-le	VER:pres	confirmez-le
vous	PRO:PER	vous
-même	ADJ	même
,	PUN	,
Montrez	VER:pres	montrer
-lui	PRO:PER	lui
le	DET:ART	le
danger	NOM	danger
que	PRO:REL	que
vous	PRO:PER	vous
courez	VER:pres	courir
tous	PRO:IND	tout
deux	NUM	deux
,	PUN	,
Qu'	NAM	Qu'
on	PRO:PER	on
verrait	VER:cond	voir
tôt	ADV	tôt
ou	KON	ou
tard	ADV	tard
quelque	PRO:IND	quelque
éclat	NOM	éclat
de	PRP	de
ses	DET:POS	son
feux	NOM	feu
,	PUN	,
Que	VER:ppre	Que
l'	DET:ART	le
Empereur	NOM	empereur
suivant	VER:ppre	suivre
son	DET:POS	son
penchant	ADJ	penchant
ordinaire	NOM	ordinaire
Oublierait	VER:cond	oublier
les	DET:ART	le
saints	ADJ	saint
noms	NOM	nom
,	PUN	,
et	KON	et
d'	PRP	de
époux	NOM	époux
,	PUN	,
et	KON	et
de	PRP	de
père	NOM	père
,	PUN	,
Et	VER:subi	Et
vous	PRO:PER	vous
perdrait	VER:cond	perdre
tous	PRO:IND	tout
deux	NUM	deux
sur	PRP	sur
un	DET:ART	un
simple	ADJ	simple
regard	NOM	regard
Ou	VER:subi	Ou
peut-être	ADV	peut-être
l'	DET:ART	le
amour	NOM	amour
aurait	VER:cond	avoir
eu	VER:pper	avoir
peu	ADV	peu
de	PRP	de
part	NOM	part
.	SENT	.
Redoutés	VER:pper	redouter
d'	PRP	de
Andronic	NAM	Andronic
la	DET:ART	le
fierté	NOM	fierté
naturelle	ADJ	naturel
,	PUN	,
Montrez	VER:pres	montrer
-lui	PRO:PER	lui
les	DET:ART	le
chemins	NOM	chemin
où	PRO:REL	où
la	DET:ART	le
gloire	NOM	gloire
l'	PRO:PER	la|le
appelle	VER:pres	appeler
:	PUN	:
Surtout	ADV	surtout
commandez	VER:pres	commander
-lui	PRO:PER	lui
de	PRP	de
ne	ADV	ne
vous	PRO:PER	vous
voir	VER:infi	voir
jamais	ADV	jamais
,	PUN	,
Qu'	ADJ	Qu'
il	PRO:PER	il
ne	ADV	ne
s'	PRO:PER	se
approche	VER:pres	approcher
plus	ADV	plus
des	PRP:det	du
murs	NOM	mur
de	PRP	de
ce	PRO:DEM	ce
palais	NOM	palais
,	PUN	,
Qu'	NAM	Qu'
il	PRO:PER	il
pense	VER:pres	penser
à	PRP	à
tous	PRO:IND	tout
moments	NOM	moment
que	KON	que
son	DET:POS	son
sort	NOM	sort
et	KON	et
le	DET:ART	le
vôtre	PRO:POS	vôtre
Vous	NAM	Vous
doit	VER:pres	devoir
jusqu'	PRP	jusque
au	PRP:det	au
tombeau	NOM	tombeau
séparer	VER:infi	séparer
l'	DET:ART	le
un	NOM	un
et	KON	et
l'	DET:ART	le
autre	ADJ	autre
:	PUN	:
Ô	INT	ô
ciel	NOM	ciel
que	PRO:REL	que
feriez	VER:cond	faire
-vous	PRO:PER	vous
si	ADV	si
trompant	VER:ppre	tromper
votre	DET:POS	votre
espoir	NOM	espoir
,	PUN	,
Andronic	NAM	Andronic
en	PRP	en
ces	PRO:DEM	ce
lieux	NOM	lieu
revenu	VER:pper	revenir
pour	PRP	pour
vous	PRO:PER	vous
voir	VER:infi	voir
,	PUN	,
Renouvelait	VER:impf	renouveler
un	DET:ART	un
jour	NOM	jour
par	PRP	par
sa	DET:POS	son
triste	ADJ	triste
présence	NOM	présence
Le	DET:ART	le
souvenir	NOM	souvenir
qu'	PRO:REL	que
aurait	VER:cond	avoir
affaibli	VER:pper	affaiblir
son	DET:POS	son
absence	NOM	absence
?	SENT	?
Que	KON	que
de	PRP	de
nouveaux	ADJ	nouveau
combats	NOM	combat
!	SENT	!
Que	KON	que
de	PRP	de
secrets	ADJ	secret
soupirs	NOM	soupir
?	SENT	?
Hélas	INT	hélas
,	PUN	,
épargnez	VER:pres	épargner
-vous	PRO:PER	vous
ces	PRO:DEM	ce
mortels	ADJ	mortel
déplaisirs	NOM	déplaisir
:	PUN	:
Si	KON	si
le	DET:ART	le
prince	NOM	prince
une	DET:ART	un
fois	NOM	foi|fois
vous	PRO:PER	vous
a	VER:pres	avoir
promis	VER:pper	promettre
,	PUN	,
Madame	NAM	Madame
,	PUN	,
De	VER:simp	De
ne	ADV	ne
plus	ADV	plus
traverser	VER:infi	traverser
le	DET:ART	le
repos	NOM	repos
de	PRP	de
votre	DET:POS	votre
âme	NOM	âme
,	PUN	,
D'	ABR	D'
aller	VER:infi	aller
loin	ADV	loin
de	PRP	de
vos	DET:POS	votre
yeux	NOM	œil
sans	PRP	sans
espoir	NOM	espoir
de	PRP	de
retour	NOM	retour
Étouffer	NAM	Étouffer
ou	KON	ou
nourrir	VER:infi	nourrir
un	DET:ART	un
malheureux	ADJ	malheureux
amour	NOM	amour
,	PUN	,
Quelque	NOM	Quelque
brûlant	VER:ppre	brûler
désir	NOM	désir
,	PUN	,
quelque	PRO:IND	quelque
ardeur	NOM	ardeur
qui	PRO:REL	qui
le	DET:ART	le
presse	NOM	presse
,	PUN	,
Madame	NAM	Madame
,	PUN	,
j'	PRO:PER	je
en	PRO:PER	en
réponds	VER:pres	répondre
,	PUN	,
il	PRO:PER	il
tiendra	VER:futu	tenir
sa	DET:POS	son
promesse	NOM	promesse
.	SENT	.
Voyez-le	NAM	Voyez-le
,	PUN	,
et	KON	et
sans	PRP	sans
frémir	VER:infi	frémir
de	PRP	de
son	DET:POS	son
destin	NOM	destin
cruel	ADJ	cruel
,	PUN	,
Prononcez	VER:pres	prononcer
-lui	PRO:PER	lui
l'	DET:ART	le
arrêt	NOM	arrêt
d'	PRP	de
un	DET:ART	un
exil	NOM	exil
éternel	ADJ	éternel
.	SENT	.
Lui	PRO:PER	lui
pourrai	VER:futu	pouvoir
-je	PRO:PER	je
imposer	VER:infi	imposer
une	DET:ART	un
loi	NOM	loi
si	ADV	si
funeste	ADJ	funeste
?	SENT	?
Ah	INT	ah
!	SENT	!
Laissez-le	VER:pres	Laissez-le
moi	PRO:PER	moi
fuir	VER:infi	fuir
sans	PRP	sans
me	PRO:PER	me
charger	VER:infi	charger
du	PRP:det	du
reste	NOM	reste
,	PUN	,
J'	NAM	J'
ai	VER:pres	avoir
causé	VER:pper	causer
ses	DET:POS	son
malheurs	NOM	malheur
,	PUN	,
en	PRO:PER	en
causant	VER:ppre	causer
son	DET:POS	son
amour	NOM	amour
,	PUN	,
Le	PRO:PER	le
presserai	VER:futu	presser
-je	PRO:PER	je
encore	ADV	encore
de	PRP	de
sortir	VER:infi	sortir
de	PRP	de
la	DET:ART	le
Cour	NAM	Cour
,	PUN	,
Et	NOM	Et
d'	PRP	de
aller	VER:infi	aller
essuyer	VER:infi	essuyer
chez	PRP	chez
un	DET:ART	un
peuple	NOM	peuple
barbare	ADJ	barbare
,	PUN	,
Du	VER:simp	Du
destin	NOM	destin
ennemi	ADJ	ennemi
le	DET:ART	le
caprice	NOM	caprice
bizarre	ADJ	bizarre
?	SENT	?
Que	KON	que
dis	VER:pres	dire
-je	PRO:PER	je
?	SENT	?
Pensez	VER:pres	penser
-vous	PRO:PER	vous
que	PRO:REL	que
dans	PRP	dans
mon	DET:POS	mon
triste	ADJ	triste
coeur	NOM	cœur
,	PUN	,
Ma	VER:simp	Ma
vertu	NOM	vertu
devant	ADV	devant
lui	PRO:PER	lui
résiste	VER:pres	résister
à	PRP	à
ma	DET:POS	mon
douleur	NOM	douleur
?	SENT	?
Au	PRP:det	au
bruit	NOM	bruit
de	PRP	de
ses	DET:POS	son
soupirs	NOM	soupir
...	PUN	...
À	PRP	à
l'	DET:ART	le
aspect	NOM	aspect
de	PRP	de
ses	DET:POS	son
larmes	NOM	larme
...	PUN	...
Non	NAM	Non
,	PUN	,
ce	PRO:DEM	ce
seul	ADJ	seul
souvenir	NOM	souvenir
me	PRO:PER	me
donne	VER:pres	donner
trop	ADV	trop
d'	PRP	de
alarmes	NOM	alarme
,	PUN	,
Je	PRO:PER	je
ne	ADV	ne
puis	ADV	puis
m'	PRO:PER	me
exposer	VER:infi	exposer
à	PRP	à
ce	PRO:DEM	ce
triste	ADJ	triste
entretien	NOM	entretien
,	PUN	,
C'	NAM	C'
est	VER:pres	être
trop	ADV	trop
de	PRP	de
mon	DET:POS	mon
tourment	NOM	tourment
sans	PRP	sans
y	PRO:PER	y
joindre	VER:infi	joindre
le	DET:ART	le
sien	PRO:POS	sien
;	PUN	;
C'	NAM	C'
est	VER:pres	être
trop	ADV	trop
triompher	VER:infi	triompher
de	PRP	de
toute	PRO:IND	tout
ma	DET:POS	mon
constance	NOM	constance
,	PUN	,
Hélas	NAM	Hélas
!	SENT	!
D'	PRP	de
avoir	VER:infi	avoir
quitté	VER:pper	quitter
les	DET:ART	le
lieux	NOM	lieu
de	PRP	de
ma	DET:POS	mon
naissance	NOM	naissance
;	PUN	;
Ces	VER:simp	Ces
lieux	NOM	lieu
où	PRO:REL	où
tout	ADV	tout
semblait	VER:impf	sembler
prévenir	VER:infi	prévenir
mes	DET:POS	mon
désirs	NOM	désir
,	PUN	,
Où	ABR	Où
mon	DET:POS	mon
coeur	NOM	cœur
n'	ADV	ne
a	VER:pres	avoir
jamais	ADV	jamais
connu	VER:pper	connaître
que	KON	que
les	DET:ART	le
plaisirs	NOM	plaisir
;	PUN	;
Ô	NOM	Ô
bienheureux	ADJ	bienheureux
séjour	NOM	séjour
!	SENT	!
Aimable	ADJ	aimable
Trébisonde	NAM	Trébisonde
!	SENT	!
Ô	INT	ô
murs	NOM	mur
!	SENT	!
Où	PRO:REL	où
je	PRO:PER	je
vivais	VER:impf	vivre
dans	PRP	dans
une	DET:ART	un
paix	NOM	paix
profonde	ADJ	profond
!	SENT	!
Que	KON	que
n'	ADV	ne
ai	VER:pres	avoir
-je	PRO:PER	je
en	PRP	en
vous	PRO:PER	vous
perdant	VER:ppre	perdre
,	PUN	,
de	PRP	de
mes	DET:POS	mon
funestes	ADJ	funeste
jours	NOM	jour
,	PUN	,
Par	NAM	Par
une	DET:ART	un
prompte	ADJ	prompt
mort	NOM	mort
vu	PRP	vu
terminer	VER:infi	terminer
le	DET:ART	le
cours	NOM	cour|cours
?	SENT	?
Je	PRO:PER	je
m'	PRO:PER	me
éloignai	VER:simp	éloigner
de	PRP	de
vous	PRO:PER	vous
en	PRP	en
ces	PRO:DEM	ce
lieux	NOM	lieu
entraînée	VER:pper	entraîner
Par	NOM	par
le	DET:ART	le
trompeur	ADJ	trompeur
espoir	NOM	espoir
d'	PRP	de
un	DET:ART	un
heureux	ADJ	heureux
hyménée	NOM	hyménée
;	PUN	;
Je	PRO:PER	je
croyais	VER:impf	croire
qu'	KON	que
Andronic	NAM	Andronic
à	PRP	à
mon	DET:POS	mon
destin	NOM	destin
lié	ADJ	lié
Pour	NAM	Pour
jamais	ADV	jamais
avec	PRP	avec
moi	PRO:PER	moi
serait	VER:cond	être
associé	VER:pper	associer
,	PUN	,
Nos	NOM	Nos
pères	NOM	père
l'	PRO:PER	la|le
ordonnaient	VER:impf	ordonner
,	PUN	,
Trébisonde	NAM	Trébisonde
et	KON	et
Byzance	NAM	Byzance
,	PUN	,
Sur	NAM	Sur
cet	PRO:DEM	ce
illustre	ADJ	illustre
hymen	NOM	hymen
fondaient	VER:impf	fonder|fondre
leur	DET:POS	leur
espérance	NOM	espérance
;	PUN	;
Je	PRO:PER	je
venais	VER:impf	venir
avec	PRP	avec
joie	NOM	joie
en	PRP	en
célébrer	VER:infi	célébrer
les	DET:ART	le
noeuds	NOM	nœud
,	PUN	,
Le	DET:ART	le
prince	NOM	prince
était	VER:impf	être
aimable	ADJ	aimable
,	PUN	,
il	PRO:PER	il
était	VER:impf	être
amoureux	ADJ	amoureux
;	PUN	;
Vains	ADJ	vain
projets	NOM	projet
!	SENT	!
Vains	ADJ	vain
transports	NOM	transport
!	SENT	!
Espérance	NOM	espérance
inutile	ADJ	inutile
!	SENT	!
J'	PRO:PER	je
arrive	VER:pres	arriver
enfin	ADV	enfin
,	PUN	,
à	PRP	à
peine	NOM	peine
entrai	VER:simp	entrer
-je	PRO:PER	je
en	PRP	en
cette	PRO:DEM	ce
ville	NOM	ville
Que	VER:futu	Que
je	PRO:PER	je
vois	VER:pres	voir
délivrée	VER:pper	délivrer
en	PRP	en
des	PRP:det	du
maux	NOM	mal
infinis	ADJ	infini
,	PUN	,
Il	NAM	Il
me	PRO:PER	me
faut	VER:pres	falloir
épouser	VER:infi	épouser
le	DET:ART	le
père	NOM	père
au	PRP:det	au
lieu	NOM	lieu
du	PRP:det	du
fils	NOM	fil|fils
,	PUN	,
Nos	NOM	Nos
destins	NOM	destin
sont	VER:pres	être
changés	VER:pper	changer
;	PUN	;
un	DET:ART	un
ordre	NOM	ordre
de	PRP	de
mon	DET:POS	mon
père	NOM	père
Détruit	VER:pper	détruire
dans	PRP	dans
un	DET:ART	un
instant	NOM	instant
le	DET:ART	le
bonheur	NOM	bonheur
que	PRO:REL	que
j'	PRO:PER	je
espère	VER:pres	espérer
;	PUN	;
En	NOM	En
victime	NOM	victime
d'	PRP	de
État	NAM	État
,	PUN	,
contrainte	VER:pper	contraindre
d'	PRP	de
obéir	VER:infi	obéir
,	PUN	,
Pour	NAM	Pour
conserver	VER:infi	conserver
ma	DET:POS	mon
gloire	NOM	gloire
il	PRO:PER	il
fallut	VER:simp	falloir
me	PRO:PER	me
trahir	VER:infi	trahir
.	SENT	.
Eh	INT	eh
!	SENT	!
Pourquoi	ADV	pourquoi
rappelant	VER:ppre	rappeler
vos	DET:POS	votre
disgrâces	NOM	disgrâce
passées	VER:pper	passer
,	PUN	,
Occuper	VER:infi	occuper
votre	DET:POS	votre
esprit	NOM	esprit
de	PRP	de
ces	PRO:DEM	ce
tristes	ADJ	triste
pensées	NOM	pensée
?	SENT	?
Madame	NOM	Madame
,	PUN	,
faites	VER:pres	faire
-vous	PRO:PER	vous
un	DET:ART	un
généreux	ADJ	généreux
effort	NOM	effort
,	PUN	,
Avec	NAM	Avec
moins	ADV	moins
de	PRP	de
douleur	NOM	douleur
remplissez	VER:pres	remplir
votre	DET:POS	votre
sort	NOM	sort
,	PUN	,
Et	VER:simp	Et
sachez	VER:impe	savoir
avec	PRP	avec
soin	NOM	soin
aux	PRP:det	au
yeux	NOM	œil
de	PRP	de
tout	PRO:IND	tout
l'	DET:ART	le
Empire	NAM	Empire
,	PUN	,
Les	DET:ART	le
déplaisirs	NOM	déplaisir
secrets	ADJ	secret
...	PUN	...
Ah	NAM	Ah
que	KON	que
m'	PRO:PER	me
osez	VER:pres	oser
-vous	PRO:PER	vous
dire	VER:infi	dire
?	SENT	?
Qui	PRO:REL	qui
jamais	ADV	jamais
a	VER:pres	avoir
caché	VER:pper	cacher
ses	DET:POS	son
chagrins	NOM	chagrin
mieux	ADV	mieux
que	KON	que
moi	PRO:PER	moi
,	PUN	,
Et	NOM	Et
mieux	ADV	mieux
subi	VER:pper	subir
du	PRP:det	du
sort	NOM	sort
l'	DET:ART	le
injurieuse	ADJ	injurieux
loi	NOM	loi
?	SENT	?
Cependant	ADV	cependant
qui	PRO:REL	qui
jamais	ADV	jamais
eut	VER:simp	avoir
le	DET:ART	le
sort	NOM	sort
le	DET:ART	le
plus	ADV	plus
contraire	ADJ	contraire
?	SENT	?
Observée	VER:pper	observer
avec	PRP	avec
soin	NOM	soin
par	PRP	par
une	DET:ART	un
Cour	NAM	Cour
austère	ADJ	austère
,	PUN	,
Où	ABR	Où
les	DET:ART	le
yeux	NOM	œil
les	DET:ART	le
plus	ADV	plus
chers	ADJ	cher
me	PRO:PER	me
semblaient	VER:impf	sembler
ennemis	ADJ	ennemi
;	PUN	;
Où	ABR	Où
je	PRO:PER	je
n'	ADV	ne
ai	VER:pres	avoir
rien	ADV	rien
des	PRP:det	du
biens	NOM	bien
que	PRO:REL	que
je	PRO:PER	je
m'	PRO:PER	me
étais	VER:impf	être
promis	VER:pper	promettre
,	PUN	,
Où	ABR	Où
sans	PRP	sans
cesse	NOM	cesse
livrée	VER:pper	livrer
à	PRP	à
ma	DET:POS	mon
douleur	NOM	douleur
extrême	ADJ	extrême
Mon	NAM	Mon
coeur	NOM	cœur
tyrannisé	VER:pper	tyranniser
combat	VER:pres	combattre
contre	PRP	contre
lui	PRO:PER	lui
-même	ADJ	même
,	PUN	,
Que	VER:subi	Que
vous	PRO:PER	vous
dirai	VER:futu	dire
-je	PRO:PER	je
enfin	ADV	enfin
?	SENT	?
Où	PRO:REL	où
ce	PRO:DEM	ce
coeur	NOM	cœur
malheureux	ADJ	malheureux
Est	NOM	Est
souvent	ADV	souvent
malgré	PRP	malgré
moi	PRO:PER	moi
moins	ADV	moins
fort	ADJ	fort
que	KON	que
je	PRO:PER	je
ne	ADV	ne
veux	VER:pres	vouloir
.	SENT	.
Redoublez	VER:pres	redoubler
vos	DET:POS	votre
efforts	NOM	effort
,	PUN	,
le	DET:ART	le
temps	NOM	temps
,	PUN	,
votre	DET:POS	votre
confiance	NOM	confiance
De	VER:futu	De
vos	DET:POS	votre
profonds	ADJ	profond
ennuis	NOM	ennui
vaincront	VER:futu	vaincre
la	DET:ART	le
violence	NOM	violence
,	PUN	,
Et	VER:ppre	Et
le	DET:ART	le
prince	NOM	prince
bientôt	ADV	bientôt
éloigné	VER:pper	éloigner
de	PRP	de
vos	DET:POS	votre
yeux	NOM	œil
Vous	NAM	Vous
pourrez	VER:futu	pouvoir
...	PUN	...
Andronic	NAM	Andronic
s'	PRO:PER	se
avance	VER:pres	avancer
vers	PRP	vers
ces	PRO:DEM	ce
lieux	NOM	lieu
,	PUN	,
Il	NAM	Il
vous	PRO:PER	vous
cherche	VER:pres	chercher
,	PUN	,
Madame	NAM	Madame
.	SENT	.
Ah	INT	ah
!	SENT	!
Je	PRO:PER	je
n'	ADV	ne
ose	VER:pres	oser
l'	PRO:PER	la|le
attendre	VER:infi	attendre
;	PUN	;
Eudoxe	NAM	Eudoxe
,	PUN	,
vous	PRO:PER	vous
pouvez	VER:pres	pouvoir
lui	PRO:PER	lui
parler	VER:infi	parler
et	KON	et
l'	PRO:PER	la|le
entendre	VER:infi	entendre
,	PUN	,
Voyez-le	NAM	Voyez-le
