Oui	INT	oui
yeux	NOM	œil
,	PUN	,
Camille	NAM	Camille
,	PUN	,
et	KON	et
j'	PRO:PER	je
ai	VER:pres	avoir
lu	VER:pper	lire
dans	PRP	dans
son	DET:POS	son
âme	NOM	âme
.	SENT	.
Hippias	NAM	Hippias
n'	ADV	ne
a	VER:pres	avoir
rien	ADV	rien
fait	VER:pper	faire
de	PRP	de
grand	ADJ	grand
,	PUN	,
de	PRP	de
glorieux	ADJ	glorieux
,	PUN	,
Que	VER:ppre	Que
la	DET:ART	le
joie	NOM	joie
aussitôt	ADV	aussitôt
n'	ADV	ne
ait	VER:subp	avoir
brillé	VER:pper	briller
dans	PRP	dans
ses	DET:POS	son
yeux	NOM	œil
.	SENT	.
Dans	PRP	dans
ces	PRO:DEM	ce
occasions	NOM	occasion
je	PRO:PER	je
l'	PRO:PER	la|le
ai	VER:pres	avoir
vue	VER:pper	voir
interdite	VER:pper	interdire
Mendier	VER:infi	mendier
mon	DET:POS	mon
suffrage	NOM	suffrage
à	PRP	à
vanter	VER:infi	vanter
son	DET:POS	son
mérite	NOM	mérite
,	PUN	,
S'	ADJ	S'
y	PRO:PER	y
montrée	VER:pper	montrer
empressée	VER:pper	empresser
,	PUN	,
et	KON	et
cet	PRO:DEM	ce
empressement	NOM	empressement
Était	VER:impf	être
tel	PRO:DEM	tel
qu'	PRO:REL	que
une	DET:ART	un
Amante	NAM	Amante
en	PRO:PER	en
a	VER:pres	avoir
pour	PRP	pour
un	DET:ART	un
amant	NOM	amant
.	SENT	.
Tant	ADV	tant
d'	PRP	de
ardeur	NOM	ardeur
va	VER:pres	aller
plus	ADV	plus
loin	ADV	loin
que	KON	que
l'	DET:ART	le
estime	NOM	estime
ordinaire	ADJ	ordinaire
.	SENT	.
C'	PRO:DEM	ce
était	VER:impf	être
pour	PRP	pour
s'	PRO:PER	se
acquérir	VER:infi	acquérir
Androclide	NAM	Androclide
son	DET:POS	son
père	NOM	père
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
lui	PRO:PER	lui
dont	PRO:REL	dont
les	DET:ART	le
conseils	NOM	conseil
après	PRP	après
tant	ADV	tant
de	PRP	de
refus	NOM	refus
Ont	VER:futu	Ont
obtenu	VER:pper	obtenir
du	PRP:det	du
Roi	NOM	roi
de	PRP	de
rétablir	VER:infi	rétablir
Pyrrhus	NAM	Pyrrhus
,	PUN	,
Et	NAM	Et
comme	KON	comme
il	PRO:PER	il
pouvait	VER:impf	pouvoir
tout	ADV	tout
sur	PRP	sur
l'	DET:ART	le
esprit	NOM	esprit
de	PRP	de
son	DET:POS	son
maître	NOM	maître
,	PUN	,
En	NOM	En
flattant	VER:ppre	flatter
Hippias	NOM	Hippias
...	PUN	...
mais	KON	mais
je	PRO:PER	je
le	PRO:PER	le
vois	VER:pres	voir
paraître	VER:infi	paraître
.	SENT	.
Quoi	PRO	quoi
,	PUN	,
me	PRO:PER	me
revoir	VER:infi	revoir
encor	ADV	encor
!	SENT	!
Ah	INT	ah
Prince	NAM	Prince
,	PUN	,
oubliez	VER:pres	oublier
-vous	PRO:PER	vous
Que	VER:pper	Que
Pyrrhus	NAM	Pyrrhus
aujourd'hui	ADV	aujourd'hui
doit	VER:pres	devoir
être	VER:infi	être
mon	DET:POS	mon
Époux	NOM	époux
?	SENT	?
Déjà	ADV	déjà
de	PRP	de
mon	DET:POS	mon
hymen	NOM	hymen
la	DET:ART	le
triste	ADJ	triste
pompe	NOM	pompe
éclate	VER:pres	éclater
,	PUN	,
Et	NOM	Et
quand	KON	quand
l'	DET:ART	le
espoir	NOM	espoir
enfin	ADV	enfin
n'	ADV	ne
a	VER:pres	avoir
plus	ADV	plus
rien	NOM	rien
qui	PRO:REL	qui
me	PRO:PER	me
flatte	VER:pres	flatter
,	PUN	,
C'	NAM	C'
est	VER:pres	être
me	PRO:PER	me
traiter	VER:infi	traiter
sans	PRP	sans
doute	NOM	doute
avec	PRP	avec
tant	ADV	tant
de	PRP	de
rigueur	NOM	rigueur
Que	VER:subi	Que
venir	VER:infi	venir
augmenter	VER:infi	augmenter
le	DET:ART	le
trouble	NOM	trouble
de	PRP	de
mon	DET:POS	mon
coeur	NOM	cœur
.	SENT	.
Dans	PRP	dans
les	DET:ART	le
maux	NOM	mal
que	KON	que
pour	PRP	pour
moi	NOM	moi
chaque	PRO:IND	chaque
moment	NOM	moment
redouble	VER:pres	redoubler
Pouvez	VER:impe	Pouvez
-vous	PRO:PER	vous
m'	PRO:PER	me
envier	VER:infi	envier
la	DET:ART	le
douceur	NOM	douceur
de	PRP	de
ce	PRO:DEM	ce
trouble	NOM	trouble
,	PUN	,
Et	VER:simp	Et
voir	VER:infi	voir
avec	PRP	avec
regret	NOM	regret
qu'	KON	que
outré	VER:pper	outrer
de	PRP	de
mille	NUM	mille
ennuis	NOM	ennui
Je	PRO:PER	je
règne	VER:pres	régner
en	PRP	en
votre	DET:POS	votre
coeur	NOM	cœur
autant	ADV	autant
que	KON	que
je	PRO:PER	je
le	PRO:PER	le
puis	ADV	puis
?	SENT	?
Puisqu'on	NAM	Puisqu'on
va	VER:pres	aller
me	PRO:PER	me
l'	PRO:PER	la|le
ôter	VER:infi	ôter
;	PUN	;
laissez	VER:pres	laisser
-y	PRO:PER	y
-moi	PRO:PER	moi
de	PRP	de
grâce	NOM	grâce
Jusqu'	ADJ	Jusqu'
à	PRP	à
ce	PRO:DEM	ce
dur	ADJ	dur
moment	NOM	moment
occuper	VER:infi	occuper
quelque	PRO:IND	quelque
place	NOM	place
.	SENT	.
Ce	PRO:DEM	ce
portrait	VER:pres	portraire
que	KON	que
l'	DET:ART	le
Amour	NAM	Amour
y	PRO:PER	y
peut	VER:pres	pouvoir
avoir	VER:infi	avoir
tracé	VER:pper	tracer
En	NOM	En
sera	VER:futu	être
,	PUN	,
s'	PRO:PER	se
il	PRO:PER	il
le	PRO:PER	le
faut	VER:pres	falloir
,	PUN	,
assez	ADV	assez
tôt	ADV	tôt
effacé	VER:pper	effacer
.	SENT	.
Contre	PRP	contre
ce	PRO:DEM	ce
que	KON	que
ses	DET:POS	son
traits	NOM	trait
auront	VER:futu	avoir
pour	PRP	pour
vous	PRO:PER	vous
d'	PRP	de
amorces	NOM	amorce
Votre	NAM	Votre
fière	ADJ	fier
vertu	NOM	vertu
trouvera	VER:futu	trouver
trop	ADV	trop
de	PRP	de
forces	NOM	force|forces
,	PUN	,
N'	NAM	N'
avancez	VER:pres	avancer
point	ADV	point
l'	DET:ART	le
effet	NOM	effet
d'	PRP	de
un	DET:ART	un
si	ADV	si
cruel	ADJ	cruel
devoir	NOM	devoir
,	PUN	,
Et	NAM	Et
souffrez	VER:pres	souffrir
jusque	PRP	jusque
-là	ADV	là
que	KON	que
je	PRO:PER	je
vous	PRO:PER	vous
puisse	VER:subp	pouvoir
voir	VER:infi	voir
,	PUN	,
Qu'	NOM	Qu'
à	PRP	à
vos	DET:POS	votre
yeux	NOM	œil
de	PRP	de
mon	DET:POS	mon
feu	NOM	feu
toute	PRO:IND	tout
l'	DET:ART	le
ardeur	NOM	ardeur
s'	PRO:PER	se
exprime	VER:pres	exprimer
Tandis	VER:pper	Tandis
qu'	KON	que
il	PRO:PER	il
peut	VER:pres	pouvoir
encor	ADV	encor
être	VER:infi	être
écouté	VER:pper	écouter
sans	PRP	sans
crime	NOM	crime
,	PUN	,
Que	VER:pper	Que
d'	PRP	de
un	DET:ART	un
coeur	NOM	cœur
tout	ADV	tout
à	PRP	à
vous	PRO:PER	vous
ce	PRO:DEM	ce
feu	NOM	feu
soit	VER:subp	être
le	DET:ART	le
garant	NOM	garant
,	PUN	,
Que	VER:pper	Que
cent	NUM	cent
fois	NOM	foi|fois
je	PRO:PER	je
le	PRO:PER	le
jure	VER:pres	jurer
,	PUN	,
et	KON	et
meure	VER:subp	mourir
en	PRP	en
le	DET:ART	le
jurant	VER:ppre	jurer
.	SENT	.
Si	KON	si
le	DET:ART	le
Ciel	NOM	Ciel
me	PRO:PER	me
laissait	VER:impf	laisser
disposer	VER:infi	disposer
de	PRP	de
moi	NOM	moi
-même	ADJ	même
,	PUN	,
Il	NOM	Il
suffirait	VER:cond	suffire
pour	PRP	pour
vous	PRO:PER	vous
que	PRO:REL	que
je	PRO:PER	je
sais	VER:pres	savoir
comme	ADV	comme
on	PRO:PER	on
aime	VER:pres	aimer
,	PUN	,
Mais	VER:impf	Mais
vous	PRO:PER	vous
n'	ADV	ne
ignorez	VER:pres	ignorer
pas	ADV	pas
ce	PRO:DEM	ce
qu'	PRO:REL	que
en	PRP	en
ce	PRO:DEM	ce
triste	ADJ	triste
état	NOM	état
Peut	VER:pres	pouvoir
une	DET:ART	un
âme	NOM	âme
asservie	VER:pper	asservir
aux	PRP:det	au
maximes	NOM	maxime
d'	PRP	de
État	NAM	État
.	SENT	.
Esclave	NOM	esclave
d'	PRP	de
un	DET:ART	un
devoir	NOM	devoir
...	PUN	...
Et	VER:simp	Et
c'	PRO:DEM	ce
est	VER:pres	être
ce	PRO:DEM	ce
qui	PRO:REL	qui
m'	PRO:PER	me
accable	VER:pres	accabler
Que	VER:pper	Que
votre	DET:POS	votre
seul	ADJ	seul
devoir	NOM	devoir
me	PRO:PER	me
soit	VER:subp	être
inexorable	ADJ	inexorable
,	PUN	,
Et	NOM	Et
que	KON	que
malgré	PRP	malgré
l'	DET:ART	le
excès	NOM	excès
de	PRP	de
tout	PRO:IND	tout
mon	DET:POS	mon
désespoir	NOM	désespoir
Je	PRO:PER	je
sois	VER:subp	être
encor	ADV	encor
forcé	VER:pper	forcer
d'	PRP	de
approuver	VER:infi	approuver
ce	PRO:DEM	ce
devoir	NOM	devoir
.	SENT	.
Si	KON	si
le	DET:ART	le
Ciel	NOM	Ciel
pour	PRP	pour
un	DET:ART	un
autre	ADJ	autre
avait	VER:impf	avoir
touché	VER:pper	toucher
votre	DET:POS	votre
âme	NOM	âme
,	PUN	,
Je	PRO:PER	je
me	PRO:PER	me
consolerais	VER:cond	consoler
du	PRP:det	du
mépris	NOM	mépris
de	PRP	de
ma	DET:POS	mon
flamme	NOM	flamme
,	PUN	,
Et	NOM	Et
de	PRP	de
l'	DET:ART	le
espoir	NOM	espoir
jamais	ADV	jamais
n'	ADV	ne
ayant	VER:ppre	avoir
eu	VER:pper	avoir
le	DET:ART	le
soutien	NOM	soutien
,	PUN	,
Mes	VER:simp	Mes
voeux	NOM	vœu
en	PRP	en
le	DET:ART	le
perdant	NOM	perdant
croiraient	VER:cond	croire
ne	ADV	ne
perdre	VER:infi	perdre
rien	NOM	rien
?	SENT	?
Mais	KON	mais
d'	PRP	de
un	DET:ART	un
même	ADJ	même
penchant	NOM	penchant
le	DET:ART	le
charme	NOM	charme
nous	PRO:PER	nous
attire	VER:pres	attirer
,	PUN	,
J'	NAM	J'
aime	VER:pres	aimer
,	PUN	,
vous	PRO:PER	vous
l'	PRO:PER	la|le
agréez	VER:pres	agréer
,	PUN	,
et	KON	et
je	PRO:PER	je
puis	ADV	puis
vous	PRO:PER	vous
le	PRO:PER	le
dire	VER:infi	dire
,	PUN	,
Et	NOM	Et
quand	KON	quand
un	DET:ART	un
feu	NOM	feu
si	KON	si
beau	NOM	beau
voudrait	VER:cond	vouloir
paraître	VER:infi	paraître
au	PRP:det	au
jour	NOM	jour
Le	DET:ART	le
Destin	NOM	destin
ose	VER:pres	oser
seul	ADJ	seul
en	PRP	en
démentir	VER:infi	démentir
l'	DET:ART	le
Amour	NAM	Amour
.	SENT	.
Dieux	NOM	Dieu
!	SENT	!
N'	ADV	ne
avait-il	NOM	avait-il
uni	VER:pper	unir
mon	DET:POS	mon
triste	ADJ	triste
coeur	NOM	cœur
au	PRP:det	au
vôtre	PRO:POS	vôtre
Qu'	ADJ	Qu'
afin	KON	afin
que	KON	que
je	PRO:PER	je
vous	PRO:PER	vous
visse	VER:pres	visser
entre	PRP	entre
les	DET:ART	le
bras	NOM	bras
d'	PRP	de
un	DET:ART	un
autre	ADJ	autre
,	PUN	,
Et	VER:ppre	Et
l'	DET:ART	le
espoir	NOM	espoir
de	PRP	de
ce	PRO:DEM	ce
bien	NOM	bien
à	PRP	à
mes	DET:POS	mon
désirs	NOM	désir
si	KON	si
cher	ADV	cher
,	PUN	,
Ne	VER:simp	Ne
me	PRO:PER	me
l'	DET:ART	le
a-t-il	ADJ	a-t-il
souffert	VER:pper	souffrir
que	KON	que
pour	KON	pour
me	PRO:PER	me
l'	PRO:PER	la|le
arracher	VER:infi	arracher
?	SENT	?
Les	DET:ART	le
plaintes	NOM	plainte
servent	VER:pres	servir
peu	ADV	peu
dans	PRP	dans
un	DET:ART	un
malheur	NOM	malheur
extrême	ADJ	extrême
,	PUN	,
Songez	VER:pres	songer
plutôt	ADV	plutôt
...	PUN	...
Hélas	NAM	Hélas
!	SENT	!
Songez	VER:pres	songer
que	KON	que
je	PRO:PER	je
vous	PRO:PER	vous
aime	VER:pres	aimer
,	PUN	,
Et	NOM	Et
qu'	KON	que
un	DET:ART	un
Amant	NAM	Amant
que	PRO:REL	que
presse	VER:pres	presser
un	DET:ART	un
revers	NOM	revers
si	ADV	si
fatal	ADJ	fatal
,	PUN	,
Confus	NAM	Confus
,	PUN	,
désespéré	VER:pper	désespérer
,	PUN	,
ne	ADV	ne
songe	NOM	songe
qu'	KON	que
à	PRP	à
son	DET:POS	son
mal	NOM	mal
.	SENT	.
Réduit	VER:pper	réduire
à	PRP	à
l'	PRO:PER	la|le
oublier	VER:infi	oublier
il	PRO:PER	il
doit	VER:pres	devoir
en	PRP	en
faire	VER:infi	faire
gloire	NOM	gloire
.	SENT	.
